,files,keys,en,hi,id,zh-Hant,ja,zh-Hans,Base,th,vi,ko
119,Flabuless/LocalizationStrings/Localizable.strings,"""Leaderboard:Individual:Label:SubtitleZero""","""Your ranking is 0 and percentile rank is 0"";","""आपका रैंक 0 है और आप शीर्ष 0 में हैं"";","""Anda di peringkat 0 dan peringkat persentil adalah 0"";","""您當前的排名是第 0，也同時佔領了前 0的名次!"";","""あなたのランキングは0で、パーセンタイルランクは0です"";","""您当前的排名是第 0 也同时占领了前 0 的名次!"";","""Your ranking is 0 and percentile rank is 0"";","""อันดับของคุณคือ 0 และอันดับเปอร์เซนต์ไทป์คือ 0"";","""Bạn hiện đang đứng hạng 0 Bạn đang dẫn trước 0"";","""귀하의 순위는 0이고 백분위 순위는 0입니다"";"
120,Flabuless/LocalizationStrings/Localizable.strings,"""Please Select Thumbnail Image First""","""Please Select Thumbnail Image First"";","""कृपया पहले थंबनेल इमेज चुनें "";","""Silakan Pilih Gambar Keluku Lebih Dulu"";","""請先選擇縮圖圖像"";","""最初に画像を選択してください"";","""请先选择缩略图"";","""Please Select Thumbnail Image First"";","""โปรดเลือกรูปขนาดย่อก่อน"";","""Trước hết, Vui lòng Chọn Ảnh Đại diện Thu nhỏ "";","""먼저 썸네일 이미지를 선택해 주세요"";"
121,Flabuless/LocalizationStrings/Localizable.strings,"""Dashboard:Points:UpdateManualSteps""","""update manually"";","""update manually"";","""update manually"";","""update manually"";","""update manually"";","""请手动更新"";",,"""update manually"";","""update manually"";","""update manually"";"
122,Flabuless/LocalizationStrings/Localizable.strings,"""Dashboard:ActivityType:Sleep""","""SLEEP"";","""SLEEP"";","""SLEEP"";","""SLEEP"";","""睡眠"";","""SLEEP"";",,"""SLEEP"";","""SLEEP"";","""SLEEP"";"
123,Flabuless/LocalizationStrings/Localizable.strings,"""POINTS""","""POINTS"";","""अंक"";","""POIN"";","""積分"";","""ポイント"";","""分数"";","""POINTS"";","""แต้ม"";","""ĐIỂM"";","""포인트"";"
124,Flabuless/LocalizationStrings/Localizable.strings,"""Please enter duration""","""Please enter duration"";","""कृपया अवधि दर्ज करें"";","""Masukkan durasi"";","""請輸入運動時間"";","""期間を入力してください"";","""请输入持续时间"";","""Please enter duration"";","""โปรดป้อนระยะเวลา"";","""Vui lòng nhập thời gian"";","""기간을 입력해 주세요"";"
125,Flabuless/LocalizationStrings/Localizable.strings,"""How is ranking calculated?""","""How is ranking calculated?"";","""रैंकिंग की गणना कैसे की जाती है?"";","""Bagaimana peringkat dihitung?"";","""如何計算排名？"";","""ランキングはどのように計算されますか？"";","""如何计算排名？"";","""How is ranking calculated?"";","""การจัดอันดับคำนวณอย่างไร?"";","""Xếp hạng được tính như thế nào?"";","""순위는 어떻게 계산됩니까?"";"
126,Flabuless/LocalizationStrings/Localizable.strings,"""Some Error in fetching Leaderboard Data.""","""Some Error in fetching Leaderboard Data."";","""लीडरबोर्ड डेटा प्राप्त करने में कुछ त्रुटि."";","""Terjadi Kesalahan saat mengambil Data Papan Peringkat."";","""擷取排行榜資料發生錯誤。"";","""リーダーボードデータを取得中に何らかのエラーが発生しました。"";","""在获取排行榜数据时出现了一些错误。"";","""Some Error in fetching Leaderboard Data."";","""เกิดความผิดพลาดระหว่างดึงข้อมูลกระดานผู้นำ"";","""Có Lỗi xảy ra khi lấy Dữ liệu Bảng xếp hạng."";","""리더보드 데이터 가져오기 중 몇가지 오류."";"
127,Flabuless/LocalizationStrings/Localizable.strings,"""Jan""","""Jan"";","""जनवरी"";","""Januari"";","""一月"";","""Jan"";","""一月"";","""Jan"";","""ม.ค."";","""Jan"";","""1 월"";"
128,Flabuless/LocalizationStrings/Localizable.strings,"""ConnectApps""","""Connect Apps"";","""ऐप्स कनेक्ट करें "";","""Hubungkan Aplikasi"";","""連接APP"";","""同期する"";","""连接APP"";","""Connect Apps"";","""เชื่อมต่อแอป"";","""Kết nối với các Ứng dụng"";","""연결앱"";"
129,Flabuless/LocalizationStrings/Localizable.strings,"""am""","""am"";",,,,"""午前"";",,"""am"";",,,
130,Flabuless/LocalizationStrings/Localizable.strings,"""Are you sure you want to delete the Post?""","""Are you sure you want to delete the Post?"";","""क्या आप वाकई पोस्ट हटाना चाहते हैं?"";","""Yakin ingin menghapus Postingan?"";","""是否確定要刪除貼文？"";","""投稿を削除しますか?"";","""是否确实要删除帖子？"";","""Are you sure you want to delete the Post?"";","""คุณแน่ใจหรือว่าต้องการลบโพสต์?"";","""Bạn có chắc bạn muốn xóa bỏ Bài đăng không?"";","""게시물을 삭제하시겠습니까?"";"
131,Flabuless/LocalizationStrings/Localizable.strings,"""Currently you have ""","""Currently you have "";","""वर्तमान में आपके पास है "";","""Saat ini Anda punya"";","""目前您有"";","""現在のあなたの"";","""目前您有"";","""Currently you have "";","""ขณะนี้คุณมี"";","""Bạn hiện có"";","""현재 다음의"";"
132,Flabuless/LocalizationStrings/Localizable.strings,"""Notifications""","""Notifications"";","""अधिसूचनाएं "";","""Pemberitahuan"";","""通知"";","""通知"";","""通知"";","""Notifications"";","""การแจ้งเตือน"";","""Thông báo"";","""알림"";"
133,Flabuless/LocalizationStrings/Localizable.strings,"""days to go""","""days to go"";","""दिन बाकी हैं "";","""hari lagi"";","""尚有……日"";","""行く日数"";","""剩余的日子"";","""days to go"";","""วันเท่านั้น"";","""còn lại ngày"";","""가야할 날들"";"
134,Flabuless/LocalizationStrings/Localizable.strings,"""View Performance""","""View Performance"";","""प्रदर्शन देखें "";","""Lihat Performa"";","""查看成果"";","""パフォーマンスを表示する"";","""查看表现"";","""View Performance"";","""ดูประสิทธิภาพ"";","""Xem Kết quả Hoạt động"";","""퍼포먼스 보기"";"
135,Flabuless/LocalizationStrings/Localizable.strings,"""(Top Active Users)""","""(Top Active Users)"";","""(शीर्ष सक्रिय उपयोगकर्ता)"";","""(Pengguna Aktif Teratas)"";","""（最佳活躍用戶）"";","""（トップアクティブユーザー）"";","""(最活跃的成员)"";","""(Top Active Users)"";","""(ผู้ใช้งานบ่อย ที่สุด)"";","""(Những Người dùng Tích cực Nhất)"";","""(최상위 활발한 회원들)"";"
136,Flabuless/LocalizationStrings/Localizable.strings,"""Fully Booked""","""Fully Booked"";","""पूरी तरह बुक है "";","""Penuh"";","""預訂額滿"";","""予約が一杯です。"";","""已订满"";","""Fully Booked"";","""จองเต็มแล้ว"";","""Đã Đặt chỗ Hết"";","""전체 예약됨"";"
137,Flabuless/LocalizationStrings/Localizable.strings,"""EventDetail:PointOfContactPhone:Title""","""Point of Contact Phone"";","""Point of Contact Phone"";","""Point of Contact Phone"";","""Point of Contact Phone"";","""担当者携帯番号"";","""联系电话"";",,"""Point of Contact Phone"";","""Point of Contact Phone"";","""Point of Contact Phone"";"
138,Flabuless/LocalizationStrings/Localizable.strings,"""We save the foods you logged most recently so you can log them faster next time.Search to add the meals.""","""We save the foods you logged most recently so you can log them faster next time.Search to add the meals."";","""हम आपके द्वारा हाल ही में लॉग किए गए फूड्स को सेव करते हैं जिससे कि आप उन्हें अगली बार तेज़ी से लॉग कर सकें. भोजन जोड़ने के लिए सर्च करें."";","""Makanan yang terbaru Anda telah disimpan jadi dapat dibuka lebih cepat.Cari untuk tambah makanan."";","""我們保存您最近紀錄的食物資料,以便您下次紀錄同樣的食物內容時更快速。搜尋並新增飲食內容。"";","""最近ログに記録した食品を保存するので、次回より速くログに記録することができます。食事を検索して追加できます。"";","""我们保存了您最近记录的食物,以便您可以在下次更快地记录它们。搜索来添加餐食。"";","""We save the foods you logged most recently so you can log them faster next time.Search to add the meals."";","""เราบันทึกอาหารที่คุณจดบันทึกไว้ล่าสุดเพื่อให้คุณสามารถจดบันทึกได้เร็วขึ้นในครั้งต่อไป ค้นหาเพื่อเพิ่มมื้ออาหาร"";","""Chúng tôi lưu lại những món ăn bạn đã ghi chép gần đây nhất để bạn có thể ghi lại chúng nhanh hơn trong lần tới. Hãy tìm kiếm các món ăn để thêm vào bữa ăn."";","""향후 더욱 빠른 기록을 위해 가장 최근에 기록하신 음식을 저장했습니다. 검색해서 음식을 추가하세요."";"
139,Flabuless/LocalizationStrings/Localizable.strings,"""First Name""","""First Name"";","""पहला नाम "";","""Nama Depan"";","""名"";","""名"";","""名"";","""First Name"";","""ชื่อ"";","""Tên"";","""이름"";"
140,Flabuless/LocalizationStrings/Localizable.strings,"""AlertView:Button:No""","""No"";","""No"";","""No"";","""No"";","""いいえ"";","""No"";",,"""No"";","""No"";","""No"";"
141,Flabuless/LocalizationStrings/Localizable.strings,"""Work out""","""Work out"";","""वर्क आउट"";","""Olahraga"";","""健身"";","""トレーニング"";","""锻炼"";","""Work out"";","""ออกกำลัง"";","""Thể dục"";","""운동"";"
142,Flabuless/LocalizationStrings/Localizable.strings,"""Facilities:Detail:TermsConditions:Label""","""Terms & Conditions"";","""Terms & Conditions"";","""Terms & Conditions"";","""Terms & Conditions"";","""注意事項"";","""Terms & Conditions"";","""Terms & Conditions"";","""Terms & Conditions"";","""Terms & Conditions"";","""Terms & Conditions"";"
143,Flabuless/LocalizationStrings/Localizable.strings,"""AddActivity:Health:Title""","""Have you gone through detailed health check-up?"";","""Have you gone through detailed health check-up?"";","""Have you gone through detailed health check-up?"";","""Have you gone through detailed health check-up?"";","""健康診断／人間ドックを受診しましたか？"";","""Have you gone through detailed health check-up?"";",,"""Have you gone through detailed health check-up?"";","""Have you gone through detailed health check-up?"";","""Have you gone through detailed health check-up?"";"
144,Flabuless/LocalizationStrings/Localizable.strings,"""Event""","""Event"";","""आयोजन "";","""Acara"";","""活動"";","""イベント"";","""活动"";","""Event"";","""กิจกรรม"";","""Sự kiện"";","""이벤트"";"
145,Flabuless/LocalizationStrings/Localizable.strings,"""You are in underweight category""","""You are in underweight category"";","""आप अंडरवेट श्रेणी में हैं"";","""Anda di kategori kurus"";","""您屬於體重不足的類別"";","""あなたは体重は軽い"";","""您属于体重过轻类型的"";","""You are in underweight category"";","""คุณอยู่ในหมวดน้ำหนักน้อยกว่าเกณฑ์"";","""Bạn trong nhóm thiếu cân"";","""귀하는 체중 미달 카테고리에 있습니다"";"
146,Flabuless/LocalizationStrings/Localizable.strings,"""Access denied, please go to settings and enable photo access to use this service.""","""Access denied, please go to settings and enable photo access to use this service."";","""पहुँच से वंचित, कृपया सेटिंग्स में जाएं और इस सेवा का उपयोग करने के लिए फोटो एक्सेस को सक्षम करें"";","""Akses ditolak, silakan buka setelan dan fungsikan akses foto untuk menggunakan layanan ini."";","""存取被拒絕，請至手機的設定功能允許BS-fit取用照片。"";","""アクセスが拒否されましたので、設定に移動して、このサービスを使用する写真へのアクセスを有効にしてください。"";","""访问被拒绝，请转到设置并启用照片访问以使用此服务。"";","""Access denied, please go to settings and enable photo access to use this service."";","""การเข้าถึงถูกปฏิเสธโปรดไปที่การตั้งค่าและเปิดใช้งานการเข้าถึงภาพถ่ายเพื่อใช้บริการนี้"";","""Truy cập bị từ chối, vui lòng đi tới cài đặt và cho phép truy cập ảnh để sử dụng dịch vụ này."";","""액세스가 거부되어 설정으로 이동하여 이 서비스를 사용하도록 사진 액세스를 활성화하십시오."";"
147,Flabuless/LocalizationStrings/Localizable.strings,"""Checked In""","""Checked In"";","""चेक इन किया "";","""Masuk"";","""登入"";","""チェックイン済"";","""签到"";","""Checked In"";","""เช็คอินแล้ว"";","""Đã Xác nhận Có mặt"";","""체크인 함"";"
148,Flabuless/LocalizationStrings/Localizable.strings,"""Kg above the ideal weight""","""Kg above the ideal weight"";","""किग्रा अधिक आदर्श वज़न से "";","""kg dari berat badan ideal"";","""高於理想體重……Kg"";","""理想重量を　Kg上回る"";","""高于理想体重%千克"";","""Kg above the ideal weight"";","""กก. เหนือกว่าน้ำหนักที่เหมาะสม"";","""Kg cao hơn so với cân nặng lý tưởng"";","""kg 적정 체중보다 많습니다"";"
149,Flabuless/LocalizationStrings/Localizable.strings,"""Tue""","""Tue"";","""मंगल "";","""Sel"";","""周二"";","""火"";","""周二"";","""Tue"";","""อังคาร"";","""T.Ba"";","""화"";"
150,Flabuless/LocalizationStrings/Localizable.strings,"""CHECK - IN""","""CHECK - IN"";","""चेक इन"";","""mendaftar"";","""報到"";","""チェックイン"";","""报到"";","""CHECK - IN"";","""เช็คอิน"";","""đăng ký vào"";","""체크인"";"
151,Flabuless/LocalizationStrings/Localizable.strings,"""Alert:Success:Title""","""Successful"";","""Successful"";","""Successful"";","""Successful"";","""Successful"";","""Successful"";",,"""Successful"";","""Successful"";","""Successful"";"
152,Flabuless/LocalizationStrings/Localizable.strings,"""Checked in on""","""Checked in on"";","""चेक्ड इन ऑन है "";","""Masuk pada"";","""在……登入"";","""チェックイン"";","""签到于"";","""Checked in on"";","""เช็คอินใน"";","""Đã xác nhận tham gia vào"";","""다음에 체크인 됨"";"
153,Flabuless/LocalizationStrings/Localizable.strings,""" Events and Facilities""",""" Events and Facilities"";","""आयोजन और सुविधाएं"";","""Acara dan Fasilitas"";","""活動及設施"";","""イベントと施設"";","""活动与设施"";",""" Events and Facilities"";","""กิจกรรมและสิ่งอำนวยความสะดวก"";","""Sự kiện và Địa điểm"";","""행사와 시설들"";"
154,Flabuless/LocalizationStrings/Localizable.strings,"""Request vendor for security passcode""","""Request vendor for security passcode"";","""सुरक्षा पासकोड के लिए विक्रेता से अनुरोध करें"";","""Minta kode sandi keamanan dari vendor"";","""請求供應商提供安全碼"";","""ベンダーにセキュリティパスコードを要求する"";","""请求供应商提供安全密码"";","""Request vendor for security passcode"";","""ขอรหัสผ่านเพื่อความปลอดภัยจากผู้ขาย"";","""Yêu cầu mã bảo mật từ nhà cung cấp"";","""보안 패스코드를 벤더에 요청"";"
155,Flabuless/LocalizationStrings/Localizable.strings,"""DESCRIPTION""","""DESCRIPTION"";","""DESCRIPTION"";","""DESCRIPTION"";","""DESCRIPTION"";","""DESCRIPTION"";","""活动描述"";","""DESCRIPTION"";","""DESCRIPTION"";","""DESCRIPTION"";","""DESCRIPTION"";"
156,Flabuless/LocalizationStrings/Localizable.strings,"""Enter your comments here""","""Enter your comments here"";","""यहाँ अपनी टिप्पणी दर्ज करें"";","""Masukkan komentar Anda di sini"";","""在此處輸入您的留言"";","""ここにコメントを入力してください"";","""在此处输入您的评论"";","""Enter your comments here"";","""ใส่ความคิดเห็นของคุณที่นี่"";","""Nhập ý kiến của bạn ở đây"";","""여기에 의견을 입력"";"
157,Flabuless/LocalizationStrings/Localizable.strings,"""Profile updated successfully""",,"""प्रोफाइल को सफलतापूर्वक अपडेट किया गया"";","""Profil berhasil diperbarui"";","""個人資料更新成功"";","""「プロフィールは正常に更新されました」"";","""个人资料已成功更新"";",,"""อัปเดตโปรไฟล์สำเร็จแล้ว"";","""Cập nhật hồ sơ thành công"";","""프로필이 성공적으로 업데이트되었습니다"";"
158,Flabuless/LocalizationStrings/Localizable.strings,"""Login:AlertTitle:UpdateProfile""","""Update Profile details"";","""Update Profile details"";","""Update Profile details"";","""Update Profile details"";","""会員登録"";","""Update Profile details"";","""Update Profile details"";","""Update Profile details"";","""Update Profile details"";","""Update Profile details"";"
159,Flabuless/LocalizationStrings/Localizable.strings,"""AddActivity:Sleep:Title""","""Have you slept 6 hours on the given date?"";","""Have you slept 6 hours on the given date?"";","""Have you slept 6 hours on the given date?"";","""Have you slept 6 hours on the given date?"";","""6時間以上睡眠しましたか？"";","""Have you slept 6 hours on the given date?"";",,"""Have you slept 6 hours on the given date?"";","""Have you slept 6 hours on the given date?"";","""Have you slept 6 hours on the given date?"";"
160,Flabuless/LocalizationStrings/Localizable.strings,"""Logout""","""Logout"";","""लॉगआउट"";","""Keluar"";","""退出登錄"";","""ログアウト"";","""退出登录"";","""Logout"";","""ออกจากระบบ"";","""Đăng xuất"";","""로그아웃"";"
161,Flabuless/LocalizationStrings/Localizable.strings,"""6m""","""6m"";",,,,"""6ヶ月"";",,"""6m"";",,,
162,Flabuless/LocalizationStrings/Localizable.strings,"""Delete Poll""","""Delete Poll"";","""पोल हटाओ"";","""Hapus Polling"";","""刪除投票"";","""投票の削除"";","""删除投票"";","""Delete Poll"";","""ลบการสํารวจความคิดเห็น"";","""Xóa Bỏ phiếu Thăm dò ý kiến"";","""폴링 삭제"";"
163,Flabuless/LocalizationStrings/Localizable.strings,"""CREATE POST""","""CREATE POST"";","""पोस्ट बनाएँ"";","""Buat postingan"";","""創建帖子"";","""投稿の作成"";","""创建帖子"";","""CREATE POST"";","""สร้างโพสต์"";","""Tạo bài viết"";","""게시물 만들기"";"
164,Flabuless/LocalizationStrings/Localizable.strings,"""Facilities:Detail:PhoneNumber:Label""","""Phone Number"";","""Phone Number"";","""Phone Number"";","""Phone Number"";","""電話番号"";","""Phone Number"";","""Phone Number"";","""Phone Number"";","""Phone Number"";","""Phone Number"";"
165,Flabuless/LocalizationStrings/Localizable.strings,"""AddActivity:Cancer:Title""","""Have you have gone through cancer health screening?"";","""Have you have gone through cancer health screening?"";","""Have you have gone through cancer health screening?"";","""Have you have gone through cancer health screening?"";","""がん検診を受診しましたか？"";","""Have you have gone through cancer health screening?"";",,"""Have you have gone through cancer health screening?"";","""Have you have gone through cancer health screening?"";","""Have you have gone through cancer health screening?"";"
166,Flabuless/LocalizationStrings/Localizable.strings,"""ReadyForTheChallenge?""","""With every step that you take, you can contribute to the charity and make the world a better place. Ready for the Challenge?"";","""आपके द्वारा उठाए गए हर कदम के साथ, आप दान में योगदान दे सकते हैं और दुनिया को बेहतर स्थान बना सकते हैं। चुनौती के लिए तैयार?"";","""Dengan setiap langkah yang Anda ambil, Anda dapat berkontribusi untuk amal dan membuat dunia menjadi tempat yang lebih baik. Bersiaplah untuk Tantangan?"";","""隨著您採取的每一步，您可以為慈善事業做出貢獻，讓世界變得更美好。準備迎接挑戰？"";","""あなたが取るすべてのステップで、あなたは慈善団体に貢献し、世界をより良い場所にすることができます。チャレンジの準備はできていますか？"";","""随着您采取的每一步，您可以为慈善事业做出贡献，让世界变得更美好。准备迎接挑战？"";","""With every step that you take, you can contribute to the charity and make the world a better place. Ready for the Challenge?"";","""ด้วยทุกขั้นตอนที่คุณใช้คุณสามารถมีส่วนร่วมในการกุศลและทำให้โลกนี้กลายเป็นสถานที่ที่ดีกว่าเหมาะกับความท้าทายหรือไม่?"";","""Với mỗi bước mà bạn thực hiện, bạn có thể đóng góp cho tổ chức từ thiện và làm cho thế giới trở thành một nơi tốt đẹp hơn."";","""귀하가 취하는 모든 단계를 통해 자선 사업에 기여하고 세계를보다 나은 곳으로 만들 수 있습니다. 도전 과제를 준비하십시오?"";"
167,Flabuless/LocalizationStrings/Localizable.strings,"""Floors""","""Floors"";","""फ्लोर्स"";","""Lantai"";","""樓層"";","""フロア"";","""楼层"";","""Floors"";","""พื้น"";","""Tầng"";","""층수"";"
168,Flabuless/LocalizationStrings/Localizable.strings,"""Put on your running shoes, track your fitness activities and start chasing a healthier lifestyle.""","""Put on your running shoes, track your fitness activities and start chasing a healthier lifestyle."";","""अपने चलने वाले जूते पहनें, अपनी फिटनेस गतिविधियों को ट्रैक करें और स्वस्थ जीवनशैली का पीछा करना शुरू करें।"";","""Kenakan sepatu lari Anda, lacak aktivitas kebugaran Anda dan mulai mengejar gaya hidup yang lebih sehat."";","""穿上你的跑鞋，跟踪你的健身活動，開始追求更健康的生活方式。"";","""あなたのランニングシューズを履き、あなたのフィットネス活動を追跡し、より健康的なライフスタイルを追い始める。"";","""穿上你的跑鞋，跟踪你的健身活动，开始追求更健康的生活方式。"";","""Put on your running shoes, track your fitness activities and start chasing a healthier lifestyle."";","""ใส่รองเท้าวิ่งของคุณติดตามกิจกรรมการออกกำลังกายของคุณและเริ่มไล่ตามไลฟ์สไตล์ที่มีสุขภาพดีขึ้น"";","""Đặt trên đôi giày chạy bộ của bạn, theo dõi hoạt động thể dục của bạn và bắt đầu theo đuổi một lối sống lành mạnh hơn."";","""운동화를 신고 운동 활동을 추적하고보다 건강한 생활을 시작하십시오."";"
169,Flabuless/LocalizationStrings/Localizable.strings,"""Leaderboard:Individual:Label:Subtitle""","""Your ranking is %d and you are top %d%%"";","""आपका रैंक %d है और आप शीर्ष में हैं %d%%"";","""Anda di peringkat %d dan Anda termasuk dalam %d%"";","""您當前的排名是第 %d，也同時佔領了前%d%%的名次!"";","""あなたの累計獲得ポイントは %d 位です %d%%"";","""您当前的排名是第 %d 也同时占领了前 %d%% 的名次!"";","""Your ranking is %d and you are top %d%%"";","""คุณอยู่อันดับที่ %d และอยู่ใน %d%% ของอันดับต้น"";","""Bạn hiện đang đứng hạng %d! Bạn đang dẫn trước 5%"";","""귀하의 순위는 %d 그리고 귀하는 최상위입니다 %d%%"";"
170,Flabuless/LocalizationStrings/Localizable.strings,"""Steps""","""Steps"";","""कदम "";","""Langkah"";","""步數"";","""歩数"";","""步"";","""Steps"";","""ก้าว"";","""Bước Chân"";","""걸음수"";"
171,Flabuless/LocalizationStrings/Localizable.strings,"""DELETE""","""DELETE"";","""हटाएँ"";","""Menghapus"";","""刪除"";","""削除"";","""删除"";","""DELETE"";","""ลบ"";","""Xóa"";","""삭제"";"
172,Flabuless/LocalizationStrings/Localizable.strings,"""AddActivity:Health:SubTitle""","""Please select the consultation date and register."";","""Please select the consultation date and register."";","""Please select the consultation date and register."";","""Please select the consultation date and register."";","""申請は年度内（4～3月）で１回までとなります."";","""Please select the consultation date and register."";",,"""Please select the consultation date and register."";","""Please select the consultation date and register."";","""Please select the consultation date and register."";"
173,Flabuless/LocalizationStrings/Localizable.strings,"""ManualStepsSync:Alert:Success:Message""","""Your screenshot was updated successfully, our support team will take care from here."";","""Your screenshot was updated successfully, our support team will take care from here."";","""Your screenshot was updated successfully, our support team will take care from here."";","""Your screenshot was updated successfully, our support team will take care from here."";","""Your screenshot was updated successfully, our support team will take care from here."";","""Your screenshot was updated successfully, our support team will take care from here."";",,"""Your screenshot was updated successfully, our support team will take care from here."";","""Your screenshot was updated successfully, our support team will take care from here."";","""Your screenshot was updated successfully, our support team will take care from here."";"
174,Flabuless/LocalizationStrings/Localizable.strings,"""Duration >""","""Duration >"";","""अवधि >"";","""Durasi >"";","""運動時間 >"";","""期間>"";","""持续时间>"";","""Duration >"";","""ระยะเวลา >"";","""Thời gian >"";","""지속시간 >"";"
175,Flabuless/LocalizationStrings/Localizable.strings,"""Height and Weight fields are mandatory""","""Height and Weight fields are mandatory"";","""लम्बाई और वज़न क्षेत्र अनिवार्य हैं"";","""Tinggi Badan dan Berat Badan wajib diisi"";","""身高與體重為必填欄位"";","""高さと重量フィールドは必須です"";","""身高和体重字段是强制性的。"";","""Height and Weight fields are mandatory"";","""ช่องส่วนสูงและน้ำหนักจำเป็นต้องกรอก"";","""Các trường Chiều cao và Cân nặng là bắt buộc"";","""신장과 체중의 필수기입 항목입니다"";"
176,Flabuless/LocalizationStrings/Localizable.strings,"""RECENT FOODS""","""RECENT FOODS"";","""रीसेन्ट फूड्स"";","""MAKANAN TERBARU"";","""最近紀錄的食物"";","""最近の食べ物"";","""最近的食物"";","""RECENT FOODS"";","""อาหารล่าสุด"";","""CÁC MÓN ĂN GẦN ĐÂY"";","""최근 음식"";"
177,Flabuless/LocalizationStrings/Localizable.strings,"""You are in overweight category""","""You are in overweight category"";","""आप ओवरवेट श्रेणी में हैं "";","""Anda di kategori gemuk"";","""您屬於體重過重的類別"";","""あなたは過体重カテゴリにあります"";","""您属于超重类型的"";","""You are in overweight category"";","""คุณอยู่ในหมวดน้ำหนักสูงกว่าเกณฑ์"";","""Bạn trong nhóm thừa cân"";","""귀하는 체중 과다 카테고리에 있습니다"";"
178,Flabuless/LocalizationStrings/Localizable.strings,"""RedeemedOn ""","""Redeemed on %@ at %@"";",,,,,,"""Redeemed on %@ at %@"";",,,
179,Flabuless/LocalizationStrings/Localizable.strings,"""Delivery:ReceiverInfo:Alert:Email""","""Email should not be empty!"";","""Email should not be empty!"";","""Email should not be empty!"";","""Email should not be empty!"";","""Email should not be empty!"";","""Email should not be empty!"";",,"""Email should not be empty!"";","""Email should not be empty!"";","""Email should not be empty!"";"
180,Flabuless/LocalizationStrings/Localizable.strings,"""Old Password field should not be empty.""","""Old Password field should not be empty."";","""ओल्ड पासवर्ड फ़ील्ड खाली नहीं होना चाहिए."";","""Kolom Kata Sandi Lama tidak boleh kosong."";","""舊密碼空格不得留空。"";","""古いパスワードフィールドは空であってはいけません"";","""旧密码栏不应为空。"";","""Old Password field should not be empty."";","""ช่องรหัสผ่านเดิมไม่ควรจะว่างเปล่า"";","""Trường Mật khẩu Cũ không thể để trống."";","""기존 패스워드 필드는 공란일 수 없습니다."";"
181,Flabuless/LocalizationStrings/Localizable.strings,"""WeighingMachineTechnicalError""","""There was a technical error in reading data from weighing machine. Please try switching on and off Bluetooth on your phone and retry. Alternatively, contact Rewardz support to reset machine."";",,,,"""認証エラーありました。Bluetoothのオン/オフを切り替えて、もう一度お試しください。"";",,"""There was a technical error in reading data from weighing machine. Please try switching on and off Bluetooth on your phone and retry. Alternatively, contact Rewardz support to reset machine."";",,,
182,Flabuless/LocalizationStrings/Localizable.strings,"""Open up Apple Healthkit app again. Go to Sources >> Scroll down the page a bit >> Apps Connected >> now just make sure that Mi Fit is shown there.""","""Open up Apple Healthkit app again. Go to Sources >> Scroll down the page a bit >> Apps Connected >> now just make sure that Mi Fit is shown there."";","""Open up Apple Healthkit app again. Go to Sources >> Scroll down the page a bit >> Apps Connected >> now just make sure that Mi Fit is shown there."";","""Open up Apple Healthkit app again. Go to Sources >> Scroll down the page a bit >> Apps Connected >> now just make sure that Mi Fit is shown there."";","""Open up Apple Healthkit app again. Go to Sources >> Scroll down the page a bit >> Apps Connected >> now just make sure that Mi Fit is shown there."";","""もう一度Apple Healthkitアプリケーションを開きます。ソースに行く>>ページを少しスクロール>> Apps Connected >>今、Mi Fitがそこに表示されていることを確認してください。"";","""Open up Apple Healthkit app again. Go to Sources >> Scroll down the page a bit >> Apps Connected >> now just make sure that Mi Fit is shown there."";","""Open up Apple Healthkit app again. Go to Sources >> Scroll down the page a bit >> Apps Connected >> now just make sure that Mi Fit is shown there."";","""Open up Apple Healthkit app again. Go to Sources >> Scroll down the page a bit >> Apps Connected >> now just make sure that Mi Fit is shown there."";","""Open up Apple Healthkit app again. Go to Sources >> Scroll down the page a bit >> Apps Connected >> now just make sure that Mi Fit is shown there."";","""Open up Apple Healthkit app again. Go to Sources >> Scroll down the page a bit >> Apps Connected >> now just make sure that Mi Fit is shown there."";"
183,Flabuless/LocalizationStrings/Localizable.strings,""" Rewards to redeem""",""" Rewards to redeem"";","""रिडीम करने के लिए रिवार्ड्स"";","""Imbalan untuk diklaim"";","""要兌換的獎勵"";","""です"";","""奖励兑换"";",""" Rewards to redeem"";","""รางวัลให้แลก"";","""Các phần thưởng được đổi "";","""교환받을 보상"";"
184,Flabuless/LocalizationStrings/Localizable.strings,"""CANCEL""","""CANCEL"";","""रद्द करें "";","""Batal"";","""取消"";","""キャンセル"";","""取消"";","""CANCEL"";","""ยกเลิก"";","""Hủy"";","""취소"";"
185,Flabuless/LocalizationStrings/Localizable.strings,"""Scan your QR code""","""Scan your QR code"";","""अपना QR कोड स्कैन करें "";","""Pindai kode QR"";","""掃描您的 QR code"";","""QRコードをスキャン"";","""扫描您的二维码"";","""Scan your QR code"";","""สแกนคิวอาร์โค้ดของคุณ"";","""Quét mã QR của bạn"";","""귀하의 QR 코드를 스캔하세요"";"
186,Flabuless/LocalizationStrings/Localizable.strings,"""Duration cannot exceed""","""Duration cannot exceed"";","""अवधि बढ़ नहीं सकती है"";","""Durasi tak boleh melebihi"";","""運動時間不得超過"";","""期間は超えられません"";","""持续时间不能超过"";","""Duration cannot exceed"";","""ระยะเวลาต้องไม่เกิน"";","""Thời gian không thể quá "";","""기간은 [[Object]]을(를) 초과할 수 없습니다"";"
