,Unnamed: 0,files,keys,en,zh-Hans,vi,id,ms,th,ru
1105,1,SKOR/Presentation Layer/CustomCells/LeaderBoard/LeaderBoardViewControllerCerraSG.strings,"""no6-or-RQ1.text""","""Avg Pts"";","""平均点数"";","""Trung bình Pts"";","""Purata Point"";","""Avg Pts"";","""จำนวนเฉลี่ย"";",
1106,2,SKOR/Presentation Layer/CustomCells/LeaderBoard/LeaderBoardViewControllerCerraSG.strings,"""M6a-3h-nCN.text""","""Department"";","""部门"";","'Bộ phận';"";","""Jabatan"";","""Department"";","""แผนก"";",
1107,3,SKOR/Presentation Layer/CustomCells/LeaderBoard/LeaderBoardViewControllerCerraSG.strings,"""RnN-NP-AaG.text""","""Total Pts"";","""总点数"";","""Tổng số điểm"";","""Jumlah Pts"";","""Total Pts"";","""จำนวนทั้งหมด"";",
1108,4,SKOR/Presentation Layer/CustomCells/LeaderBoard/LeaderBoardViewControllerCerraSG.strings,"""IV7-ew-knx.normalTitle""","""INDIVIDUAL"";","""个人"";","""CÁ NHÂN"";","""INDIVIDUAL"";","""INDIVIDUAL"";","""รายบุคคล"";",
1109,5,SKOR/Presentation Layer/CustomCells/LeaderBoard/LeaderBoardViewControllerCerraSG.strings,"""kJL-kH-jX7.normalTitle""","""TEAM"";","""团队"";",""" đội"";","""TEAM"";","""TEAM"";","""ทีม"";",
1110,6,SKOR/Presentation Layer/CustomCells/LeaderBoard/LeaderBoardViewControllerCerraSG.strings,"""3tX-e4-dYU.text""","""      Filter by Category"";","""      按类别筛选"";","""      Lọc theo thể loại"";","""      Tapis mengikut Kategori"";","""      Filter by Category"";","""กรองโดยประเภทสินค้า"";",
1111,7,SKOR/Presentation Layer/CustomCells/LeaderBoard/LeaderBoardViewControllerCerraSG.strings,"""ppo-rX-waQ.text""","""Your Team Rank is 0"";","""Your Team Rank is 0"";","'Thứ hạng đội của bạn là 0';"";","""Your Team Rank is 0"";","""Your Team Rank is 0"";","""Your Team Rank is 0"";",
1112,8,SKOR/Presentation Layer/CustomCells/LeaderBoard/LeaderBoardViewControllerCerraSG.strings,"""zQi-El-6zW.text""","""Top 10 Participants"";","""前 10 名参与者"";","""Top 10 người tham gia hàng đầu"";","""10 Peserta Teratas"";","""Top 10 Participants"";","""ผู้เข้าร่วม 10 อันดับแรก"";",
1113,9,SKOR/Presentation Layer/CustomCells/LeaderBoard/LeaderBoardViewControllerCerraSG.strings,"""Hr8-be-cG6.normalTitle""","""Apply"";","""应用"";","""Áp dụng"";","""Tetapan"";","""Apply"";","""นำไปใช้"";",
1114,0,SKOR/AppreciateProfileCell.strings,"""XzV-rV-zth.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
1115,1,SKOR/AppreciateProfileCell.strings,"""FSw-Uh-XAa.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
1116,2,SKOR/AppreciateProfileCell.strings,"""UGM-Vw-z0S.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
1117,0,SKOR/ATSNDashboard/HOD User/HODDashboardViewController.strings,"""Yfw-mM-eAL.text""","""ATSN Dashboard"";","""ATSN Dashboard"";","""Bảng tổng hợp ATSN"";","""PAPAN ATSN"";","""ATSN Dashboard"";","""ATSN Dashboard"";",
1118,0,SKOR/Presentation Layer/Rewards/RewardzMainCategoryViewController/RewardzMainCategoryViewControllerCerraSG.strings,"""odX-ox-aKB.text""","""REWARDS"";","""奖励"";","""ĐỔI ĐIỂM THƯỞNG"";","""GANJARAN"";","""REWARDS"";","""ของรางวัล"";",
1119,0,SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RedeemTopTableViewCell/RedeemTopTableViewCell.strings,"""XoV-ni-GDP.text""","""Hello"";",,"""Hello"";","""Helo"";","""Hello"";",,
1120,1,SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RedeemTopTableViewCell/RedeemTopTableViewCell.strings,"""aP5-qY-8JZ.text""",,,"""N/A"";","""N/A"";","""N/A"";",,
1121,0,SKOR/GreetingDetailView/GrettingDetailViewControllerCerraSG.strings,"""rE1-67-mpW.normalTitle""","""SEND YOUR WISHES"";","""发送您的愿望"";","""Gửi lời chúc của bạn"";","""Menhantarkan harapan anda"";","""SEND YOUR WISHES"";","""ส่งความปรารถนาของคุณ"";",
1122,1,SKOR/GreetingDetailView/GrettingDetailViewControllerCerraSG.strings,"""g9e-7M-qxz.text""","""test title"";","""test title"";","""test title"";","""test title"";","""test title"";","""test title"";",
1123,2,SKOR/GreetingDetailView/GrettingDetailViewControllerCerraSG.strings,"""hVv-s7-8Hx.text""","""tes email"";","""tes email"";","""tes email"";","""tes email"";","""tes email"";","""tes email"";",
1124,0,SKOR/AppreciateStepperTableViewCell.strings,"""h8q-ha-olu.text""","""Award Points"";","""奖励积分"";","""Điểm thưởng"";","""Mata Anugerah"";","""Award Points"";","""รางวัลคะแนน"";",
1125,0,SKOR/Common List/Custom Cell/OptionListTableViewCell.strings,"""0Dh-bQ-lFD.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
1126,0,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""uSa-Cb-D6V.placeholder""",,"""电邮地址或用户名"";","""Email hoặc tên người dùng"";","""Email or Username"";","""Email or Username"";","""Email or Username"";",
1127,1,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""VkS-OY-cTu.placeholder""",,"""密码"";","""Mật khẩu"";","""Password"";","""Password"";","""Password"";",
1128,2,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""kEL-Ym-Vve.normalTitle""",,"""提交"";","""SUBMIT"";","""SUBMIT"";","""SUBMIT"";","""SUBMIT"";",
1129,3,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""HNf-Sq-7E2.placeholder""",,"""电邮地址"";","""Địa chỉ email"";","""Email Address"";","""Email Address"";","""Email Address"";",
1130,4,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""aYZ-As-jCG.text""",,"""在此输入您的电子邮件，我们会向您发送如何更改密码的说明。"";","""Enter your email below and we'll send you instructions on how to change your password."";","""Enter your email below and we'll send you instructions on how to change your password."";","""Enter your email below and we'll send you instructions on how to change your password."";","""Enter your email below and we'll send you instructions on how to change your password."";",
1131,5,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""Zxd-e9-QV9.text""",,"""重置说明已发送到您的电邮地址。"";","""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";",
1132,6,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""bqj-d4-GWg.text""",,"""忘记密码？"";","""Quên mật khẩu của bạn?"";","""Forgot your password?"";","""Forgot your password?"";","""Forgot your password?"";",
1133,7,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""Fz0-AG-0Oz.normalTitle""",,"""位置 >"";","""Vị trí >"";","""Location >"";","""Location >"";","""Location >"";",
1134,8,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""yAy-OG-Xxz.text""",,"""版:1.0"";","""Phiên bản:1.0"";","""Version:1.0"";","""Version:1.0"";","""Version:1.0"";",
1135,9,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""i9V-yV-bFO.placeholder""",,"""输入验证码"";","""Enter OTP"";","""Enter OTP"";","""Enter OTP"";","""Enter OTP"";",
1136,10,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""DcF-g9-4ci.text""",,"""输入验证码"";","""ENTER OTP"";","""ENTER OTP"";","""ENTER OTP"";","""ENTER OTP"";",
1137,11,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""wc7-50-wDd.normalTitle""",,"""重新发送验证码"";","""Resend Code"";","""Resend Code"";","""Resend Code"";","""Resend Code"";",
1138,12,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""0NT-ni-lXa.text""",,"""验证码已重新发送至您所注册的电邮地址。"";","""We have sent you a secure OTP to your registered email id"";","""We have sent you a secure OTP to your registered email id"";","""We have sent you a secure OTP to your registered email id"";","""We have sent you a secure OTP to your registered email id"";",
1139,13,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""MUi-gH-fCW.normalTitle""",,"""重发密码"";","""Resend Code"";","""Resend Code"";","""Resend Code"";","""Resend Code"";",
1140,14,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""tsd-bC-Uqr.text""",,"""验证码已重新发送至您所注册的手机号码。"";","""We have sent you a secure OTP to your registered mobile number"";","""We have sent you a secure OTP to your registered mobile number"";","""We have sent you a secure OTP to your registered mobile number"";","""We have sent you a secure OTP to your registered mobile number"";",
1141,15,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""1wf-xz-9mo.normalTitle""",,"""忘记密码"";","""Forget Password"";","""Forget Password"";","""Forget Password"";","""Forget Password"";",
1142,16,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""56V-uB-pTB.text""",,"""输入验证码"";","""ENTER OTP"";","""ENTER OTP"";","""ENTER OTP"";","""ENTER OTP"";",
1143,17,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""sJI-gp-qGt.text""",,"""我接受服务条款和隐私政策。"";","""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";",
1144,18,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""E5j-ca-MHm.placeholder""",,"""输入验证码"";","""Enter OTP"";","""Enter OTP"";","""Enter OTP"";","""Enter OTP"";",
1145,19,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""syV-LV-Pdc.text""",,"""版:1.0"";","""Version:1.0"";","""Version:1.0"";","""Version:1.0"";","""Version:1.0"";",
1146,20,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""r3g-aC-FlY.normalTitle""",,"""提交"";","""SUBMIT"";","""SUBMIT"";","""SUBMIT"";","""SUBMIT"";",
1147,21,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""eZ4-UT-4tJ.text""",,"""Suyesh"";","""Suyesh"";","""Suyesh"";","""Suyesh"";","""Suyesh"";",
1148,22,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""1on-jk-N9M.normalTitle""",,"""完成"";","""Done"";","""Done"";","""Done"";","""Done"";",
1149,23,SKOR/Resources/Storyboards/Luxottica/Main.strings,"""rXX-0f-E9r.text""",,"""版:1.0"";","""Version:1.0"";","""Version:1.0"";","""Version:1.0"";","""Version:1.0"";",
1150,0,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""oyY-OS-G9b.placeholder""","""Residential Address (Optional)"";","""住址 (可选字段)"";","""Residential Address (Optional)"";","""Residential Address (Optional)"";","""Residential Address (Optional)"";","""ที่อยู่อาศัย (ไม่บังคับ)"";",
1151,1,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""vQy-GO-aCh.placeholder""","""Email (Optional)"";","""电邮地址 (可选字段)"";","""Email (Optional)"";","""Email (Optional)"";","""Email (Optional)"";","""อีเมล (ไม่บังคับ)"";",
1152,2,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""Ba2-73-4MQ.text""","""Highest Academic Qualification"";","""最高普通学历"";","""Highest Academic Qualification"";","""Highest Academic Qualification"";","""Highest Academic Qualification"";","""คุณวุฒิการศึกษาสูงสุด"";",
1153,3,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""kKD-t8-Rbs.text""","""Position"";","""应聘职位"";","""Position"";","""Position"";","""Position"";","""ตำแหน่ง"";",
1154,4,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""5bD-zB-ctM.text""","""Currently Pursuing"";","""就读中"";","""Currently Pursuing"";","""Currently Pursuing"";","""Currently Pursuing"";","""กำลังดำเนินการ"";",
1155,5,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""YQ5-rN-fG4.text""","""Citizenship"";","""国籍"";","""Citizenship"";","""Citizenship"";","""Citizenship"";","""สัญชาติ"";",
1156,6,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""Q1X-7O-XbN.text""","""Staff Referral"";","""员工推荐"";","""Staff Referral"";","""Staff Referral"";","""Staff Referral"";","""เจ้าหน้าที่แนะนำผลิตภัณฑ์"";",
1157,7,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""LTP-Mc-s5Q.placeholder""","""Full Name(as per NRIC)"";","""姓名(as per NRIC)"";","""Full Name(as per NRIC)"";","""Full Name(as per NRIC)"";","""Full Name(as per NRIC)"";","""คุณวุฒิการศึกษาสูงสุด"";",
1158,8,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""bJ6-BS-Vqm.placeholder""","""Contact Number"";","""联络号码"";","""Contact Number"";","""Contact Number"";","""Contact Number"";","""เบอร์ติดต่อ"";",
1159,9,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""8YU-3G-Pak.normalTitle""","""Upload Resume"";","""上传简历"";","""Upload Resume"";","""Upload Resume"";","""Upload Resume"";","""อัพโหลดประวัติ"";",
1160,10,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""S8b-Ls-B78.text""","""Highest ECCE Qualification"";","""幼教专业学历"";","""Highest ECCE Qualification"";","""Highest ECCE Qualification"";","""Highest ECCE Qualification"";","""การรับรอง ECCE สูงสุด"";",
1161,11,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""PfS-i6-DLd.text""","""Label"";",,"""Label"";","""Label"";","""Label"";",,
1162,12,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""3dw-aX-wiP.normalTitle""","""SUBMIT"";","""提交"";","""SUBMIT"";","""SUBMIT"";","""SUBMIT"";","""ส่ง"";",
1163,13,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""J7S-0g-slu.text""","""* Only 3 attachments are allowed."";","""* 只允许3个附件."";","""* Only 3 attachments are allowed."";","""* Only 3 attachments are allowed."";","""* Only 3 attachments are allowed."";","""* อนุญาตให้มีไฟล์แนบ 3 ไฟล์เท่านั้น."";",
1164,14,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""60N-fG-GZ2.text""","""(Enter candidate's details)"";","""(输入候选人的详细信息)"";","""(Enter candidate's details)"";","""(Enter candidate's details)"";","""(Enter candidate's details)"";","""(กรอกรายละเอียดของผู้สมัคร)"";",
1165,15,SKOR/ReferalMainView/NutcReferalStoryboard.strings,"""H3e-gH-9kw.text""",,"""Label"";",,,,"""Label"";",
1166,0,SKOR/LaunchScreen.strings,"""8ie-xW-0ye.text""",,"""  版权所有©️：2015 RIS集团"";","""  Copyright (c) 2015 RIS. All rights reserved."";","""Hak Cipta (c) 2015 RIS. Hak cipta terpelihara."";","""  Copyright (c) 2015 RIS. All rights reserved."";","""  Copyright (c) 2015 RIS. All rights reserved."";",
1167,1,SKOR/LaunchScreen.strings,"""kId-c2-rCX.text""",,"""SKOR"";","""SKOR"";","""SKOR"";","""SKOR"";","""SKOR"";",
1168,0,SKOR/Forget Password/ForgotPasswordViewControllerNutc.strings,"""tMY-VW-H1F.placeholder""","""Email Address"";","""电子邮件地址"";","""Địa chỉ email"";","""Email Address"";","""Email Address"";","""ที่อยู่อีเมล์"";",
1169,1,SKOR/Forget Password/ForgotPasswordViewControllerNutc.strings,"""EpR-rz-7Qg.text""","""Forgot your password?"";","""找回密码吗?"";","""Quên mật khẩu của bạn?"";","""Forgot your password?"";","""Forgot your password?"";","""ลืมรหัสผ่านของคุณ?"";",
1170,2,SKOR/Forget Password/ForgotPasswordViewControllerNutc.strings,"""VfU-T3-piQ.text""","""Reset instructions have been sent to your email address"";","""重置说明已发送到您的电子邮件"";","""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";","""คำแนะนำสำหรับการรีเซ็ทได้ส่งไปยังที่อยู่อีเมล์ของคุณ"";",
1171,3,SKOR/Forget Password/ForgotPasswordViewControllerNutc.strings,"""DpS-fr-fH4.normalTitle""","""Submit"";","""提交"";","""Submit"";","""Submit"";","""Submit"";","""ยืนยัน"";",
1172,4,SKOR/Forget Password/ForgotPasswordViewControllerNutc.strings,"""mfI-8M-hdb.text""","""Enter your email below and we'll send you instructions on how to change your password."";","""请输入您的电邮，好让我们发送更改密码的说明"";","""Enter your email below and we'll send you instructions on how to change your password."";","""Enter your email below and we'll send you instructions on how to change your password."";","""Enter your email below and we'll send you instructions on how to change your password."";","""ระบุอีเมลด้านล่างและเราจะทำการจัดส่งคู่มือการเปลี่ยนรหัสผ่านให้ท่าน"";",
1173,0,SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RedeemAddressTableViewCell/RedeemAddressTableViewCell.strings,"""0Gh-ck-CyA.text""","""Outlet""",,"""Ổ cắm"";","""Tempat"";","""Outlet"";",,
1174,1,SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RedeemAddressTableViewCell/RedeemAddressTableViewCell.strings,"""O3e-LC-bAP.normalTitle""","""Change Outlet""",,"""Thay đổi ổ cắm"";","""Tukar Outlet"";","""Change Outlet"";",,
1175,0,SKOR/New Dashboard/Section provider/Dashboard Sections/Dashboard Items/EventsHorizontalScrollingItemConfigurator/Custom Cell/EventsActivitiesCollectionViewCell.strings,"""sn4-Lx-4tP.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
1176,1,SKOR/New Dashboard/Section provider/Dashboard Sections/Dashboard Items/EventsHorizontalScrollingItemConfigurator/Custom Cell/EventsActivitiesCollectionViewCell.strings,"""MWM-uB-e4J.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
1177,2,SKOR/New Dashboard/Section provider/Dashboard Sections/Dashboard Items/EventsHorizontalScrollingItemConfigurator/Custom Cell/EventsActivitiesCollectionViewCell.strings,"""vrh-D5-xz1.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
1178,3,SKOR/New Dashboard/Section provider/Dashboard Sections/Dashboard Items/EventsHorizontalScrollingItemConfigurator/Custom Cell/EventsActivitiesCollectionViewCell.strings,"""Fmw-ab-49v.normalTitle""","""Learn More"";","""了解更多信息"";","""Tìm hiểu thêm"";","""Lihat Lagi"";","""Learn More"";","""ดูเพิ่มเติม"";",
1179,0,SKOR/AppreciateProfileCollectionCell.strings,"""joc-He-Aua.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
1180,0,SKOR/Calendar/Custom Cell/EventsForCalendarTableViewCell.strings,"""6Xa-Qg-ivL.text""","""dlflsdfldsflj"";","""dlflsdfldsflj"";","""dlflsdfldsflj"";","""dlflsdfldsflj"";","""dlflsdfldsflj"";","""dlflsdfldsflj"";",
1181,1,SKOR/Calendar/Custom Cell/EventsForCalendarTableViewCell.strings,"""cd2-aM-4kc.text""","""lkwehwhhewhrohe"";","""lkwehwhhewhrohe"";","""lkwehwhhewhrohe"";","""lkwehwhhewhrohe"";","""lkwehwhhewhrohe"";","""lkwehwhhewhrohe"";",
1182,2,SKOR/Calendar/Custom Cell/EventsForCalendarTableViewCell.strings,"""Ov7-Nh-NvA.text""","""ERWEREW"";","""ERWEREW"";","""ERWEREW"";","""ERWEREW"";","""ERWEREW"";","""ERWEREW"";",
1183,3,SKOR/Calendar/Custom Cell/EventsForCalendarTableViewCell.strings,"""0mI-oD-Cec.text""","""sdbfsdfihdisfh"";","""sdbfsdfihdisfh"";","""sdbfsdfihdisfh"";","""sdbfsdfihdisfh"";","""sdbfsdfihdisfh"";","""sdbfsdfihdisfh"";",
1184,4,SKOR/Calendar/Custom Cell/EventsForCalendarTableViewCell.strings,"""JfC-aY-9SO.text""","""SDFDFDS"";","""SDFDFDS"";","""SDFDFDS"";","""SDFDFDS"";","""SDFDFDS"";","""SDFDFDS"";",
1185,0,SKOR/Receipt/Receipt list/ReceiptsViewController.strings,"""rQI-P9-3OD.normalTitle""","""Cancel"";","""取消"";","""Hủy"";","""Batal"";","""Cancel"";","""ยกเลิก"";",
1186,1,SKOR/Receipt/Receipt list/ReceiptsViewController.strings,"""Bkj-t9-Lb7.placeholder""","""   Search"";","""   搜索"";","""    Tìm kiếm"";","""   Cari"";","""   Search"";","""   ค้นหาใบเสร็จ"";",
1187,2,SKOR/Receipt/Receipt list/ReceiptsViewController.strings,"""0fF-G0-qd6.text""","""RECEIPTS"";","""收益"";","""Biên nhận"";","""RESIT"";","""RECEIPTS"";","""ใบเสร็จ"";",
1188,0,SKOR/ChangePassView/ChangePassword.strings,"""mnK-nW-nRs.normalTitle""","""SAVE PASSWORD"";","""保存密码"";","""SAVE PASSWORD"";","""Semak Kata Laluan"";","""SAVE PASSWORD"";","""บันทึกรหัสผ่าน"";",
1189,1,SKOR/ChangePassView/ChangePassword.strings,"""S7g-zI-Qq8.placeholder""","""Old Password"";","""旧密码"";","""Old Password"";","""Kata Laluan Lama"";","""Old Password"";","""รหัสผ่านเก่า"";",
1190,2,SKOR/ChangePassView/ChangePassword.strings,"""AcR-cF-Acc.text""","""Your password must contain a mixture of letters & numbers."";","""Your password must contain a mixture of letters & numbers."";","""Your password must contain a mixture of letters & numbers."";","""Your password must contain a mixture of letters & numbers."";","""Your password must contain a mixture of letters & numbers."";","""รหัสผ่านของคุณต้องประกอบด้วยตัวอักษรและตัวเลขผสมกัน"";",
1191,3,SKOR/ChangePassView/ChangePassword.strings,"""1bf-ov-Uu2.text""","""CHANGE PASSWORD"";","""更改密码"";","""CHANGE PASSWORD"";","""Tukar Kata Laluan"";","""CHANGE PASSWORD"";","""เปลี่ยนรหัสผ่าน"";",
1192,4,SKOR/ChangePassView/ChangePassword.strings,"""Kqr-sp-OUU.placeholder""","""Email"";","""电子邮件"";","""Email"";","""E-mel"";","""Email"";","""อีเมล์"";",
1193,5,SKOR/ChangePassView/ChangePassword.strings,"""Agn-1z-Q3H.placeholder""","""Confirm Password"";","""确认密码"";","""Confirm Password"";","""Pastikan kata laluan"";","""Confirm Password"";","""ยืนยันรหัสผ่าน"";",
1194,6,SKOR/ChangePassView/ChangePassword.strings,"""ecP-ae-gfS.placeholder""","""New Password"";","""新密码"";","""New Password"";","""Kata Laluan Baru"";","""New Password"";","""รหัสผ่านใหม่"";",
1195,0,SKOR/filterviewVc.strings,"""Kg8-5c-nGC.text""","""FILTER BY TEAMS"";","""FILTER BY TEAMS"";","""LỌC THEO NHÓM"";","""Penapisan berdasarkan pasukan"";","""FILTER BY TEAMS"";","""กรองโดยทีม"";",
1196,1,SKOR/filterviewVc.strings,"""Fxu-b1-OiQ.normalTitle""","""Apply"";","""应用"";","""Áp dụng"";","""Tetapan"";","""Apply"";","""นำไปใช้"";",
1197,2,SKOR/filterviewVc.strings,"""hUB-vS-CC6.text""","""Property Guru"";","""Property Guru"";","""Property Guru"";","""Property Guru"";","""Property Guru"";","""Property Guru"";",
1198,0,SKOR/RandstandOrgbasedDepartmentFetch.strings,"""phg-oQ-OI0.text""","""ORGANIZATIONS"";","""ORGANIZATIONS"";","""TỔ CHỨC"";","""ORGANISASI"";","""ORGANIZATIONS"";","""องค์กร"";",
1199,1,SKOR/RandstandOrgbasedDepartmentFetch.strings,"""HSF-4n-SYt.normalTitle""","""Clear"";","""清除"";","""Xóa"";","""Jelas"";","""Clear"";","""ล้าง"";",
1200,2,SKOR/RandstandOrgbasedDepartmentFetch.strings,"""2Iu-tc-700.normalTitle""","""Apply"";","""应用"";","""Áp dụng"";","""Tetapan"";","""Apply"";","""นำไปใช้"";",
1201,3,SKOR/RandstandOrgbasedDepartmentFetch.strings,"""ZMy-yo-Of1.placeholder""","""   Search"";","""   Search"";","""    Tìm kiếm"";","""   Cari"";","""   Search"";","""ค้นหา"";",
1202,4,SKOR/RandstandOrgbasedDepartmentFetch.strings,"""c17-gX-eDa.text""","""0 Organizations"";","""0 Organizations"";","""0 Organizations"";","""0 ORGANISASI"";","""0 Organizations"";","""0 องค์กร"";",
1203,0,SKOR/EligibleRewardsView/EligibleRewardsViewControllerCerraSG.strings,"""kRC-67-J5z.text""","""0 Pts"";","""0分"";","""0 Điểm"";","""0 Pts"";","""0 Pts"";","""0 พีทีเอส"";",
1204,1,SKOR/EligibleRewardsView/EligibleRewardsViewControllerCerraSG.strings,"""Flx-aL-4aK.text""","""ELIGIBLE REWARD"";","""可兑换的奖励"";","""PHẦN THƯỞNG ĐỦ ĐIỀU KIỆN"";",""" Ganjaran YANG LAYAK"";","""ELIGIBLE REWARD"";","""รางวัลที่มีสิทธิ์"";",
1205,2,SKOR/EligibleRewardsView/EligibleRewardsViewControllerCerraSG.strings,"""dXr-Z8-Qfz.text""","""Total Points as of 11th July"";","""7月11日：目前总积分"";","""Total Points as of 11th July"";","""Total Points as of 11th July"";","""Total Points as of 11th July"";","""Total Points as of 11th July"";",
1206,3,SKOR/EligibleRewardsView/EligibleRewardsViewControllerCerraSG.strings,"""iYU-97-acV.text""","""You have earned 10 Rewards to redeem"";","""您已获取10份奖励可兑换"";","""You have earned 10 Rewards to redeem"";","""You have earned 10 Rewards to redeem"";","""You have earned 10 Rewards to redeem"";","""You have earned 10 Rewards to redeem"";",
1207,0,SKOR/Forget Password/ForgotPasswordViewControllerCerraSG.strings,"""mfI-8M-hdb.text""","""Enter your email below and we'll send you instructions on how to change your password."";","""Enter your email below and we'll send you instructions on how to change your password."";",,"""Enter your email below and we'll send you instructions on how to change your password."";","""Enter your email below and we'll send you instructions on how to change your password."";","""Enter your email below and we'll send you instructions on how to change your password."";",
1208,1,SKOR/Forget Password/ForgotPasswordViewControllerCerraSG.strings,"""EpR-rz-7Qg.text""","""Forgot your password?"";","""Forgot your password?"";",,"""Terlupa Kata Laluan?"";","""Forgot your password?"";","""Forgot your password?"";",
1209,2,SKOR/Forget Password/ForgotPasswordViewControllerCerraSG.strings,"""VfU-T3-piQ.text""","""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";",,"""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";","""Reset instructions have been sent to your email address"";",
1210,3,SKOR/Forget Password/ForgotPasswordViewControllerCerraSG.strings,"""tMY-VW-H1F.placeholder""","""Enter email address"";","""Enter email address"";",,"""Masukkan Alamat Emel"";","""Enter email address"";","""Enter email address"";",
1211,0,SKOR/Presentation Layer/Calendar/Event Detail/Custom Cells/EventContactPersonCell/EventContactPersonCell.strings,"""jpe-br-zC4.text""","""Contact Person for the Event"";","""活动联系人"";","""Người liên hệ cho sự kiện"";","""Hubungi Orang Untuk Acara Tersebut"";","""Contact Person for the Event"";","""ผู้ติดต่อสำหรับงานอีเว้นท์"";",
1212,0,SKOR/New Dashboard/NewDashboardViewController.strings,"""Gmu-Md-u4f.text""","""DASHBOARD"";","""主页"";","""Bảng tổng hợp"";","""Papan Pemuka"";","""DASHBOARD"";","""ข้อมูลที่แสดง"";",
1213,1,SKOR/New Dashboard/NewDashboardViewController.strings,"""JLr-aq-NV8.normalTitle""","""Read More"";","""阅读更多"";",,,,,
1214,2,SKOR/New Dashboard/NewDashboardViewController.strings,"""acM-Lq-OeQ.text""","""Label"";","""标签"";",,,,,
1215,0,SKOR/Select Participants/SelectParticipantsVcCerraSG.strings,"""WYZ-ju-iZm.normalTitle""",,"""完成"";","""Xong"";","""Selesai"";","""Done"";","""เสร็จสิ้น"";",
1216,1,SKOR/Select Participants/SelectParticipantsVcCerraSG.strings,"""Bqc-wQ-J9V.text""",,,"""Bắt đầu cuộc trò chuyện"";","""Mula Perbualan"";","""Start Conversation"";",,
1217,0,SKOR/Receipt/Receipt Detail/LedvanceReceipts/Cells/ReceiptsNotesTableViewCell.strings,"""hfJ-eC-26M.text""","""Notes"";","""Notes"";",,"""Notes"";","""Notes"";","""Notes"";",
