Translations Required,Russian
Photos,Фото
Successfully Posted!,Успешно опубликовано
Length of the title should not exceed 80 characters.,Длина заголовка не должна превышать 80 символов.
Length of this field should not exceed 200 characters.,Длина этого поля не должна превышать 200 символов.
Cannot create empty post.,Невозможно создать пустой пост.
App needs external storage permission to access the media files,Для доступа к медиа приложению необходим доступ к внешнему хранилищу.
Please provide the external storage permission to continue using this functionality.,"Для использования этой функции, предоставьте доступ к внешнему хранилищу."
%d%%,%d%%
Your vote has been casted successfully.,Ваш голос был засчитан.
Post to my department only,Пост только для своего департамента
left,слева
Final Result,Окончательный результат
Cannot select more than 10 images.,Невозможно выбрать более 10 изображений.
Successfully created poll.,Опрос успешно создан.
This field cannot be empty.,Это поле не может быть пустым.
Photo saved to this device.,Фото сохранено на устройство.
Edit Post,Редактировать пост
Successfully edited the post.,Пост успешно отредактирован.
Cannot save empty post.,Невозможно сохранить пустой пост.
Deleted successfully.,Удалено успешно.
Be the first one to comment.,"Будьте первым, кто прокомментирует."
Comment,Комментарий
Delete Post,Удалить пост
Are you sure you want to delete the post?,"Вы уверены, что хотите удалить этот пост?"
Are you sure you want to delete the poll?,"Вы уверены, что хотите удалить этот опрос?"
Delete Poll,Удалить опрос
Only S3 and S4 messages can be shared on this platform,На этой платформе можно делиться только сообщениями S3 и S4.
"Internet connection lost, please retry again","Интернет-соединение потеряно, повторите попытку позже"
1 comment,1 Комментарий
comments,комментарии
%d comments,% комментариев
1 vote,1 голос
votes,голоса 
%d votes,голосa(ов)
"Something wrong happened, please retry again",Произошла ошибка. Повторите попытку позже.
"Our systems got an error, please retry again",В наших системах произошла ошибка. Повторите попытку позже.
"Our services are under maintenance, please retry after some time
","Наши сервисы находятся на техобслуживании. Повторите попытку позже.
"
"Not able to connect, please retry again",Невозможно подключиться. Повторите попытку позже.
No feeds are available at the moment.,В настоящее время фид недоступен
Cannot retrieve cropped image.,Невозможно получить обрезанное изображение.
Error fetching the GIF,Ошибка при загрузке GIF
Please remove GIF to attach media files,"Удалите GIF, чтобы прикрепить медиафайлы"
Please remove media files to attach GIF,"Удалите медиафайлы, чтобы прикрепить GIF"
Reset,Сбросить
Crop Image,Обрезать изображение
View Feed,Просмотр ленты
Not found.,Не найдено.
The feed you are looking for does not exist as it may be deleted.,"Фид, который вы искали, не существует или был удален"
Feed not found.,Фид не найден
Go to Feeds list,Перейти к списку фидов
Card Number,Номер карты
URL,URL
App needs external storage permission to save the downloaded images.,Для загрузки изображений приложению необходим доступ к внешнему хранилищу.
Please enter the valid reason,"Пожалуйста, введите вескую причину"
Reported,Отправлено
Report Abuse,Сообщить о нарушении
Comments,Комментарии
Please type in your concerns,"Пожалуйста, напишите, что вас интересует"
If you have any concerns regarding the feed please share below.,"Если у вас есть какие-либо вопросы об этом фиде, напишите об этом ниже."
Connect,Подключить
Select GIF,Выберите GIF
Search Tenor,Искать в Tenor
GIF,GIF
Like,Лайк
Select Province,Выберите провинцию
Please Select Province,"Пожалуйста, выберите провинцию"
Province,Провинция
Please Enter Pincode,"Пожалуйста, введите пин-код"
Please set province in your saved address,"Пожалуйста, укажите провинцию в вашем сохраненном адресе"
Check-In,Регистрация
Unable to Scan,Невозможно отсканировать
LOCATION CHECK IN,Регистрация по местоположению
Select Product Category,Выберите категорию товара
Choose Product Category,Выбрать категорию товара
Product Category,Категория товара
Benefit For,Боунс для
Self,Себе
Dependent,Подчиненый
Available Credit for,Доступный кредит для
Maximum Annual Credit for Selected Benefit Type,Максимальная годовая сумма для выбранного типа бонусов
Enter name of vendor/brand/shop name..,Введите название продавца / бренда / магазина…
Enter any remarks regarding the receipt. (Optional),Введите примечания к чеку. (Необязательно)
Select Benefit For,Выбрать бонус для
Select Dependent,Выбрать подчиненного 
Select Benefit Type,Выбрать тип бонуса
Flexi Benefits,Flexi benefits
Add additional invoice pages or product images here,Добавьте сюда дополнительные страницы счетов или изображения товаров
ADD DOCUMENTS,ДОБАВИТЬ ДОКУМЕНТЫ
Supporting Documents,Сопутствующие документы
Add Supporting Documents,Добавить сопутствующие документы
No Items added,Ничего не добавлено
ADD PRODUCT DETAILS,ДОБАВИТЬ ДЕТАЛИ О ТОВАРЕ
Added Items,Добавленные элементы
Notes (Optional),Примечания (необязательно)
Delete item,Удалить элемент
Are you Sure you want to delete this item?,"Вы уверены, что хотите удалить этот элемент?"
Enter any remarks regarding the receipt,Введите примечания к чеку 
Item Details,Детали о товаре
Product Group,Группа товара
Amount (optional),Сумма (необязательно)
Update,Обновить
ADD MORE,ДОБАВИТЬ ЕЩЕ
Choose Product Group,Выберите группу товара
Add product details,Добавить детали о товаре
Secondary Points Balance,Баланс дополнительных баллов
Secondary Points,Дополнительные баллы
"On sale of every Product; you will receive Primary Points and Secondary Points on the App. You can use the Primary Points to redeem rewards within the app; whereas, Secondary Points are those that get accumulated in your account to reward your customers when they make a sale. These accumulated Secondary Points will be added back to your Primary Points Wallet after 12 months from the date they were awarded in case your customers have not made a sale.","От продажи каждого товара в приложении вы получите основные и дополнительные баллы. Вы можете использовать основные баллы для получения вознаграждений в приложении; вторичные баллы накапливаются в вашей учетной записи для вознаграждения ваших клиентов, когда они совершают продажу. Накопленные дополнительные баллы вернутся в ваш кошелек основных баллов через 12 месяцев с даты их получения, если ваши клиенты ничего не продали."
Approver Remarks,Комментарии модератора
Click on the receipts to get started,"Нажмите на Чеки, чтобы начать"
Your receipt has been uploaded successfully.,Ваш чек был успешно загружен
View summary of your total points,Просмотр сводки по всем вашим баллам
Redeem your points for numerous rewards,Обменивайте свои баллы на многочисленные вознаграждения
Upload your sales invoices,Загрузите ваши счета
Keep track of your points history,Следите за своей историей баллов
Appreciate your colleague,Отправьте благодарность коллеге
Add Receipts,Добавить чеки
Qty : %1$d,Кол-во: %1$d
Please wait while your receipt is being submitted,"Подождите, пока ваш чек будет подтвержден"
Info Requested,Информация запрошена
EDIT RECEIPTS,РЕДАКТИРОВАТЬ ЧЕКИ
Edit Image,Редактировать изображение
Re-Submission,Повторное представление
Remaining monthly appreciation budget,Остаток ежемесячных благодарностей
Malay,Малайский
Vietnamese,Вьетнамский
No gif support from keypad,В клавиатуре нет поддержки gif
Pin this post to top,Закрепить пост наверху
Unpin the post,Открепить пост
Unpin the poll,Открепить опрос
Pin this poll to top,Закрепить опрос наверху
No chart data available.,Данные графика недоступны
User Type,Тип пользователя
Category,Категория
Challenge ID,Идентификатор челленджа
Challenge Date,Дата челленджа
Number,Номер
Activity Date,Дата активности
Customer Name,Имя клиента
Solution Portfolio,Портфолио решений
Proof of Evidence,Доказательства
Notes,Примечания
This is a free text section. Please highlight anything that needs reviewers attention,"Это раздел для текста Выделите все, что требует внимания рецензентов."
Claim Number,Номер запроса
Date of submission,Дата подачи
UPLOAD CLAIM,Загрузить запрос
Add Claim,Добавить запрос
Enter Number,Введите номер
dd MMM yyyy,дд МММ ГГГГ
Cloud One,Cloud One
Apex One,Apex One
Network One (ATP),Сеть 1 (ATP)
Network One (IPS),Сеть 1 (IPS)
#2345,#2345
"Input number of Meetings Confirmed, eDemos, Testimonials etc.","Введите количество подтвержденных встреч, презентаций, отзывов клиентов и т. д."
yyyy-MM-dd,гггг-ММ-дд
Tap here to get started.,"Нажмите здесь, чтобы начать."
Claims,Запросы
EDIT CLAIM,РЕДАКТИРОВАТЬ ЗАПРОС
Uploading Claim,Загрузка запроса...
Loading Claims....,Загрузка запросов...
CLAIMS,ЗАПРОСЫ
No claims are currently being processed,В настоящее время запросы не обрабатываются
No Claims Found.,Запросы не найдены.
Your claim is successfully submitted,Ваш запрос успешно отправлен
Your claim number is\u0020,Номер вашего запроса — \u0020
Upload your claims,Загрузите ваши запросы
