keys,values,values-ms,values-th,values-vi,values-zh,values-zh-rCN
string-->>please_login_now,Please Login now,Sila log masuk sekarang,กรุณาเข้าสู่ระบบในขณะนี้,Vui lòng Đăng nhập bây giờ,请立即登录,请立即登录
string-->>select_your_department,Select your department,Pilih jabatan anda,เลือกแผนกของคุณ,Chọn bộ phận của bạn,选择您的部门,选择您的部门
string-->>select_your_company,Select your company,Pilih syarikat anda,เลือกบริษัทของคุณ,Chọn công ty của bạn,选择您的公司,选择您的公司
string-->>no_company_found,No company found,Tiada syarikat ditemu,ไม่พบบริษัท,Không tìm thấy công ty,未找到公司,未找到公司
string-->>password_must_be_same,Password must be same.,Kata laluan mestilah sama.,รหัสผ่านจะต้องเหมือนกัน,Mật khẩu phải giống nhau.,密码必须相同。,密码必须相同。
string-->>enter_confirm_password,Enter confirm password.,Masukkan kata laluan yang telah disahkan.,ป้อนรหัสผ่านเพื่อยืนยัน,Nhập mật khẩu xác nhận.,输入确认密码。,输入确认密码。
string-->>password_digit_uppercase_lowercase,"Password must have 1 digit, 1 UpperCase and 1 LowerCase letters.","Kata laluan mesti mempunyai 1 digit, 1 UpperCase dan 1 huruf LowerCase.","รหัสผ่านจะต้องมี 1 หลัก, 1 ตัวอักษรตัวพิมพ์ใหญ่ และ 1 ตัวอักษรตัวพิมพ์เล็ก","Mật khẩu phải có 1 chữ số, 1 Chữ In Hoa và 1 Chữ Thường.",密码必须具有 1 位、1 个大写字母和 1 个小写字母。,密码必须具有 1 位、1 个大写字母和 1 个小写字母。
string-->>enter_password,Enter password.,Masukkan kata laluan.,ป้อนรหัสผ่าน,Nhập mật khẩu.,输入密码。,输入密码。
string-->>select_your_branch,Select your branch.,Pilih cawangan anda.,เลือกสาขาของคุณ,Chọn chi nhánh của bạn.,选择分支。,选择分支。
string-->>enter_valid_email,Enter valid e-mail ID.,Masukkan ID e-mel yang sah.,ป้อน ID อีเมล์ที่ถูกต้อง,Nhập ID email hợp lệ.,输入有效的电子邮件 ID。,输入有效的电子邮件 ID。
string-->>enter_email_id,Enter e-mail ID.,Masukkan ID e-mel.,ป้อน ID อีเมล์,Nhập ID email.,输入电子邮件 ID。,输入电子邮件 ID。
string-->>enter_last_name,Enter last name.,Masukkan nama belakang.,ป้อนนามสกุล,Nhập họ.,输入姓氏。,输入姓氏。
string-->>enter_first_name,Enter first name.,Masukkan nama pertama.,ป้อนชื่อ,Nhập tên.,输入名字。,输入名字。
string-->>first_select_your_company,First select your company,Pertama pilih syarikat anda,ก่อนอื่นให้เลือกบริษัทของคุณ,Trước tiên hãy chọn công ty của bạn,首先选择您的公司,首先选择您的公司
string-->>enter_registration_code,Enter registration code.,Masukkan kod pendaftaran.,ป้อนรหัสลงทะเบียน,Nhập mã đăng ký.,输入注册代码。,输入注册代码。
string-->>skip,Skip,Langkau,ข้าม,Bỏ qua,跳,跳
string-->>enter_receipt_number,Enter Receipt Number,Masukan Nombor Resit,ป้อนเลขที่ใบเสร็จ,Nhập Số Biên nhận,输入收据编号,输入收据编号
string-->>choose_brand_name,Choose Brand Name,Pilih Nama Jenama,เลือกชื่อแบรนด์,Chọn Tên Thương hiệu,选择品牌名称,选择品牌名称
string-->>you_cannot_select_this_photo,You cannot select this photo,Anda Tidak Boleh pilih foto ini,คุณไม่สามารถเลือกรูปภาพนี้,Bạn không thể chọn ảnh này,您不能选择此照片,您不能选择此照片
string-->>do_you_want_to_delete,Do you want to delete,Adakah anda mahu memadamkannya,คุณต้องการลบ,Bạn có muốn xóa,是否要删除,是否要删除
string-->>selected_photos,selected photos?,foto terpilih?,รูปภาพที่เลือก?,những bức ảnh đã chọn?,选定的照片？,选定的照片？
string-->>your_card_number,Your Card Number:,Nombor Kad Anda:,เลขที่บัตรของคุณ:,Số Thẻ của bạn:,您的卡号：,您的卡号：
string-->>pin_capital,PIN,PIN:,รหัสผ่าน:,mã PIN,针：,针：
string-->>verify,Verifying....,Mengesahkan ....,,Đang xác minh ....,验证。。。。,验证。。。。
string-->>request_new_otp,Requesting new OTP,Meminta OTP yang baru,,Yêu cầu mã OTP mới,请求新的 OTP,请求新的 OTP
string-->>success,Success,Kejayaan,สำเร็จ,Thành công,成功,成功
string-->>select_org,Select org,Pilih org,,Chọn tổ chức,选择组织,选择组织
string-->>change_org,Change Org,Tukar Org,,Thay đổi tổ chức,更改组织,更改组织
string-->>logout_message,You will be logged out for app settings to take place.,Anda akan dilog keluar untuk tetapan aplikasi untuk berlaku.,คุณจะออกจากระบบเพื่อให้เกิดการตั้งค่าแอพ,Bạn sẽ được đăng xuất để cài đặt ứng dụng.,您将登出以进行应用设置。,您将登出以进行应用设置。
string-->>new_settings_found,New settings found,Tetapan baru dijumpa,พบการตั้งค่าใหม่,Đã tìm thấy cài đặt mới,找到新设置,找到新设置
string-->>recognize,Recognize,Mengakui,,Ghi nhận,认识,认识
string-->>thanks_for_recognizing,Thanks for recognizing,Terima kasih kerana mengenali,,Cảm ơn bạn đã ghi nhận,感谢您的确认,感谢您的确认
string-->>select_at_least_one_strengths_to_recognize,Select at least one strength to recognize,Pilih sekurang-kurangnya satu kekuatan untuk mengenali,,Chọn ít nhất một ưu điểm để ghi nhận,选择至少一个强度来识别,选择至少一个强度来识别
string-->>no_updates,No Updates,Tiada Maklumat,,Không có Cập nhật,无更新,无更新
string-->>take_survey,Take Survey,mengambil kaji selidik,ทำการสำรวจ,Tham gia Khảo sát,参加调查,参加调查
string-->>workplace,WORKPLACE,WORKPLACE,,NƠI LÀM VIỆC,车间,车间
string-->>allocate_points,ALLOCATE POINTS,MEMPERUNTUKKAN MATA,,PHÂN BỔ ĐIỂM,分配点,分配点
string-->>server_facing_heavy_load,Server is facing heavy load. Please try again later.,Pelayan menghadapi beban berat. Sila cuba sebentar lagi.,เซิร์ฟเวอร์กำลังโหลดข้อมูลจำนวนมาก กรุณาลองใหม่อีกครั้งในภายหลัง,Máy chủ đang phải tải dữ liệu nặng. Bạn vui lòng thử lại sau.,服务器面临重负载。请稍后再试。,服务器面临重负载。请稍后再试。
string-->>password_policy,"* Password must be minimum 8 characters and contain a combination of uppercase letters, lowercase letters & numbers.","* Kata laluan mesti minimum 8 aksara dan mengandungi gabungan huruf besar, huruf kecil & nombor.","* รหัสผ่านจะต้องมีอย่างน้อย 8 ตัวอักษร และประกอบด้วย ตัวอักษรตัวใหญ่, ตัวเล็ก และตัวเลข","* Mật khẩu phải có tối thiểu 8 ký tự và chứa sự kết hợp của chữ hoa, chữ thường và số.",[CDATA [*密码必须至少包含8个字符，并且包含大写字母，小写字母和数字的组合。]],[CDATA [*密码必须至少包含8个字符，并且包含大写字母，小写字母和数字的组合。]]
string-->>only_home_delivery_text_for_nexperia,Please enter your home address. Use of Nexperia ATSN office address is not allowed.,Sila masukkan alamat rumah anda. Penggunaan alamat pejabat Nexperia ATSN tidak dibenarkan.,,Vui lòng nhập địa chỉ nhà của bạn. Không được phép sử dụng địa chỉ văn phòng Nexperia ATSN.,请输入您的家庭地址。不允许使用 Nexperia ATSN 办公地址。,请输入您的家庭地址。不允许使用 Nexperia ATSN 办公地址。
string-->>hint_email_emp_id,Employee ID,ID Perkerja,,Mã nhân viên,员工 ID,员工 ID
string-->>message_change_email,Please enter your email address and change your password,Sila masukkan alamat e-mel anda dan tukar kata laluan anda,กรุณาป้อนที่อยู่อีเมล์ของคุณ และเปลี่ยนรหัสผ่านของคุณ,Vui lòng nhập địa chỉ email và thay đổi mật khẩu của bạn,请输入您的电子邮件地址并更改密码,请输入您的电子邮件地址并更改密码
string-->>title_change_email_password,SET EMAIL ID & PASSWORD,SET E-MEL ID & KATA LALUAN,,ĐẶT ID & MẬT KHẨU EMAIL,设置电子邮件 ID 和密码,设置电子邮件 ID 和密码
string-->>email_policy,* Please enter your work or personal contact email for password reset and points redemption purposes.,* Sila masukkan kerja atau e-mel hubungan peribadi anda untuk menetapkan semula kata laluan dan tujuan penebusan mata.,,* Please enter your work or personal contact email for password reset and points redemption purposes.,,
string-->>label_postcode,Postal Code,Poskod,รหัสไปรษณีย์,Mã Bưu điện,邮政编码,邮政编码
string-->>title_dashboard_nexperia,Home,RUMAH,,Trang chủ,家,家
string-->>label_points,points,mata,คะแนน,điểm,点,点
string-->>message_select_delivery_mode,Please select a delivery mode,Sila pilih mod penghantaran,กรุณาเลือกรูปแบบการจัดส่ง,Vui lòng chọn một chế độ giao hàng,请选择交货模式,请选择交货模式
string-->>label_privacy_policy_nexperia,I have read and accept the Terms of Service & Privacy Policy of Rewardz and Nexperia Malaysia.,Saya telah membaca dan menerima Syarat Perkhidmatan & Dasar Privasi Rewardz dan Nexperia Malaysia.,,Tôi đã đọc và chấp nhận Điều khoản Dịch vụ & Chính sách Bảo mật của Rewardz và Nexperia Malaysia.,我已阅读并接受服务条款。Rewardz 和 Nexperia 马来西亚的隐私政策。,我已阅读并接受服务条款。Rewardz 和 Nexperia 马来西亚的隐私政策。
string-->>hint_enter_email_address,Please enter you email address,Sila masukkan alamat e-mel anda,,Vui lòng nhập địa chỉ email của bạn,请输入您的电子邮件地址,请输入您的电子邮件地址
string-->>target_units,Target Units,Unit sasaran,จำนวนเป้าหมาย,Đơn vị chỉ tiêu,目标单位,目标单位
string-->>units_sold,Units Sold,Unit Dijual,จำนวนที่ขายแล้ว,Đơn vị đã Bán,已售单位,已售单位
string-->>campaign_tracker,Special Campaigns Tracker,Kempen Pengesan Khas,ตัวติดตามแคมเปญพิเศษ,Trình theo dõi Chiến dịch Đặc biệt,特别活动跟踪器,特别活动跟踪器
string-->>you_are_in,You are in,Anda berada dalam,คุณอยู่ใน,Bạn đang ở trong,你在,你在
string-->>tier,tier,tingkat,ระดับชั้น,bậc,层,层
string-->>user_is_in,User is in,Pengguna berada didalam,ผู้ใช้อยู่ใน,Người dùng đang ở,用户处于,用户处于
string-->>you_are_nominating,You are nominating,Anda mencalonkan,,Bạn đang đề cử,您正在提名,您正在提名
string-->>you_are_recognizing,You are recognizing,Anda mengenali,,Bạn đang ghi nhận,你认识到,你认识到
string-->>private_msg,Private,Swasta,,Riêng tư,私人,私人
string-->>appreciation_private_message,This user has chosen to keep the appreciations private,Pengguna ini telah memilih untuk mengekalkan penghargaan peribadi,,Người dùng này đã chọn thiết lập các đánh giá cao ở chế độ riêng tư,此用户已选择保持欣赏隐私,此用户已选择保持欣赏隐私
string-->>make_appreciation_public,Make my appreciations public,Berikan penghargaan saya kepada umum,,Thiết lập sự đánh giá cao của tôi ở chế độ công khai,公开我的感激之情,公开我的感激之情
string-->>appreciations,Appreciations,Penghargaan,,Đánh giá cao,赞赏,赞赏
string-->>nominations,Nomination,Nominasi,,Đề cử,提名,提名
string-->>recongnizations,Recongnizations,Pengiktirafan,,Ghi nhận,重新化,重新化
string-->>workplace_by_facebook,Workplace by Facebook,Tempat kerja oleh Facebook,,Nơi làm việc của Facebook,Facebook 的工作场所,Facebook 的工作场所
string-->>share_with,Share with,Berkongsi dengan,,Chia sẻ với,与,与
string-->>select_at_least_one_message_to_share,Please long click on message and select at least one message that you would like to share.,Sila klik lama pada mesej dan pilih sekurang-kurangnya satu mesej yang ingin anda bagikan.,,Vui lòng nhấp lâu vào tin nhắn và chọn ít nhất một tin nhắn mà bạn muốn chia sẻ.,请长按邮件并选择至少一封您希望共享的消息。,请长按邮件并选择至少一封您希望共享的消息。
string-->>appreciated,appreciated,dihargai,การขอบคุณ,đã đánh giá cao,赞赏,赞赏
string-->>posting_workplace,Posting to workplace.....,Menghantar ke tempat kerja .....,,Đăng vào công sở .....,发布到工作场所...,发布到工作场所...
string-->>does_not_exists_on_workplace,does not exists on your workplace group,tidak wujud di kumpulan tempat kerja anda,,không tồn tại trong nhóm công sở của bạn,您的工作场所组不存在,您的工作场所组不存在
string-->>posted_to_workplace,Successfully posted to your workplace group.,Berjaya dihantar ke kumpulan tempat kerja anda.,,Đã đăng thành công lên nhóm công sở của bạn.,已成功发布到工作区组。,已成功发布到工作区组。
string-->>something_went_wrong_posting_to_workplace,Something went wrong while posting to your workplace group.,Sesuatu yang tidak kena semasa menghantar ke kumpulan tempat kerja anda.,,Đã xảy ra sự cố khi đăng lên nhóm công sở của bạn.,发布到工作区组时出现问题。,发布到工作区组时出现问题。
string-->>with_this_message,with this message,dengan mesej ini,,với tin nhắn này,与此消息,与此消息
string-->>new_settings_updated,New settings updated.,Tetapan baru dikemas kini.,อัพเดทการตั้งค่าใหม่แล้ว,Đã cập nhật cài đặt mới.,更新了新设置。,更新了新设置。
string-->>hide_my_appreciation_messages,Hide my appreciation messages,Sembunyikan mesej penghargaan saya,Hide my appreciation messages,Ẩn tin nhắn đánh giá cao của tôi,隐藏我的赞赏信息,隐藏我的赞赏信息
string-->>failed_to_subscribe_recording_api,There was a problem subscribing to Recording API,Terdapat masalah melanggan API Rakaman,,Đã xảy ra sự cố khi đăng ký Recording API,订阅录制 API 时出现问题,订阅录制 API 时出现问题
string-->>fetching_details,Fetching Details....,Mengambil Butiran ...,กำลังดึงข้อมูล...,Tìm nạp chi tiết ....,正在获取详细信息...,正在获取详细信息...
string-->>enter_frame_category,Select Frame Category,Pilih Kategori Bingkai,ป้อนประเภทของแว่นตา,Chọn Danh mục Khung,选择帧类别,选择帧类别
string-->>enter_date_of_receipt,Enter Date of Receipt,Masukkan Tarikh Resit,ป้อนวันที่ของใบเสร็จ,Nhập Ngày của Biên nhận,输入收货日期,输入收货日期
string-->>enter_no_of_units_sold,Enter Number of Units sold,Masukkan Nombor Unit yang dijual,ป้อนจำนวนหน่วยที่ขาย,Nhập Số lượng Đơn vị đã bán,输入已售出的单位数,输入已售出的单位数
string-->>validate_no_of_units_sold,Number of Units sold should be less than 8,,,,,
string-->>receipts_missing,Receipt is missing,Resit hilang,ใบเสร็จรับเงินขาดหายไป,Biên nhận bị thiếu,缺少收据,缺少收据
string-->>loading_receipts,Loading Receipts....,Memuat Resit ....,กำลังโหลดใบเสร็จ,Đang tải Biên nhận ....,正在加载收据...,正在加载收据...
string-->>uploading_receipt,Uploading Receipt,Muat Naik Resit,กำลังอัพโหลดใบเสร็จ,Đang tải lên Biên nhận,上传收据,上传收据
string-->>receipt_upload_failed,Receipt Upload Failed,Muat Naik Resit Gagal,การอัพโหลดใบเสร็จล้มเหลว,Không thể Tải lên Biên nhận,收据上传失败,收据上传失败
string-->>upload_complete,Upload Complete,Muat naik Lengkap,อัพโหลดเสร็จสมบูรณ์,Hoàn tất Tải lên,上传完成,上传完成
string-->>italian,Italian,Itali,,Tiếng Ý,意大利语,意大利语
string-->>german,German,Jerman,,Tiếng Đức,德语,德语
string-->>frame_category,Frame Category,Kategori Frame,ประเภทของแว่นตา,Thể loại khung,框架类别,框架类别
string-->>brand_model,Brand Model,Modal Jenama,รหัสรุ่น,Mô hình Thương hiệu,品牌模型,品牌模型
string-->>date_of_receipt,Date of Receipt,Tarik Resit,วันที่ของใบเสร็จ,Ngày của Biên nhận,收货日期,收货日期
string-->>amount,Amount,Jumlah,ยอดขายสุทธิ,Số tiền,量,量
string-->>no_of_units_sold,No. of units sold,Bilangan unit yang dijual,จำนวนสินค้า,Số lượng các đơn vị đã bán,不。已售出的单位,不。已售出的单位
string-->>view_receipt,View Receipt,Lihat Resit,ดูใบเสร็จ,Xem Biên nhận,查看收据,查看收据
string-->>upload,Upload,Muat naik,อัพโหลด,Tải lên,上传,上传
string-->>spanish,Spanish,Sepanyol,,Tiếng Tây Ban Nha,西班牙语,西班牙语
string-->>nric_email,NRIC/email,NRIC/e-mel,,NRIC / email,NRIC/电子邮件,NRIC/电子邮件
string-->>notify_members,Notify members of,Beritahu ahli,,Thông báo cho các thành viên của,通知成员,通知成员
string-->>quantity_less_than,Quantity should be less than 9,Kuantiti hendaklah tidak kurang daripada 9,ปริมาณควรน้อยกว่า 9,Số lượng phải ít hơn 9,数量应小于 20,数量应小于 9
string-->>add_quantity_less_than,Add less than 9,Tambah kurang daripada 20,เพิ่มน้อยกว่า 9,Thêm ít hơn 9,添加少于 20,添加少于 9
string-->>you_can_redeem,You can redeem this reward,Anda boleh menebus ganjaran ini,คุณสามารถแลกรางวัลนี้,Bạn có thể đổi phần thưởng này,您可以兑换此奖励,您可以兑换此奖励
string-->>enter_your_email_to_reset_pwd,Enter your email address below and we\'ll send you instructions on how to change your password,Masukkan alamat e-mel anda di bawah dan kami akan menghantar arahan tentang cara menukar kata laluan anda,ระบุอีเมลด้านล่างและเราจะทำการจัดส่งคู่มือการเปลี่ยนรหัสผ่านให้ท่าน,Nhập địa chỉ email của bạn vào bên dưới và chúng tôi sẽ gửi cho bạn hướng dẫn về cách thay đổi mật khẩu của bạn,请在下面输入您的电子邮件地址，我们将向您发送有关如何更改密码的说明,请在下面输入您的电子邮件地址，我们将向您发送有关如何更改密码的说明
string-->>country,Country,Negara,ประเทศ,Quốc gia,国家,国家
string-->>store,Store,Simpan,,Cửa hàng,商店,商店
string-->>select_your_country,Select your country,Pilih negara anda,เลือกประเทศของคุณ,Chọn quốc gia của bạn,选择您所在的国家/地区,选择您所在的国家/地区
string-->>first_select_country,First select your country,Pertama pilih negara anda,ก่อนอื่นให้เลือกประเทศของคุณ,Trước tiên hãy chọn quốc gia của bạn,首先选择您所在的国家/地区,首先选择您所在的国家/地区
string-->>loading_stores,Loading stores....,Memuatkan simpanan,กำลังโหลด ร้านค้า...,Đang tải cửa hàng….,正在加载商店...,正在加载商店...
string-->>no_countries_found,No countries found,Tiada negara dijumpai,ไม่พบประเทศ,Không tìm thấy quốc gia nào,未发现国家/地区,未发现国家/地区
string-->>select_your_store,Select your store,Pilih simpanan anda,เลือกร้านค้าของคุณ,Chọn cửa hàng của bạn,选择您的商店,选择您的商店
string-->>loading_countries,Loading countries....,Memuatkan negara ....,กำลังโหลด ประเทศ...,Đang tải các quốc gia ....,正在加载国家/地区...,正在加载国家/地区...
string-->>process,Processing,Pemprosesan,กำลังดำเนินการ,Đang xử lý,处理,处理
string-->>redeem_e_cash,Redeem e-Cash,Tebus e-Cash,แลกเงินอิเล็กทรอนิกส์ (e-cash),Đổi Tiền điện tử,兑换电子现金,兑换电子现金
string-->>enter_amount,Enter Amount,Masukkan Amaun,ป้อนจำนวนรวม,Nhập Số tiền,输入金额,输入金额
string-->>min_amt_reqd,"Minimum redemption of $10 is required, subsequent increase in multiples of $1","Penebusan minimum $ 10 diperlukan, peningkatan seterusnya dalam gandaan $ 1",การแลกขั้นต่ำที่ $1 เพิ่มขึ้นตามลำดับเป็นทวีคูณของ $1,"Bắt buộc quy đổi tối thiểu 10USD, sau đó sẽ tăng mức quy đổi là bội số của 1USD",最低兑换 10 美元，随后增加 1 美元倍数,最低兑换 10 美元，随后增加 1 美元倍数
string-->>enter_paynow_acc_no,Enter PayNow bank account number,Masukkan nombor akaun bank PayNow,ป้อนหมายเลขบัญชีของ PayNow,Nhập số tài khoản ngân hàng PayNow,输入 PayNow 银行帐号,输入 PayNow 银行帐号
string-->>or,OR,ATAU,หรือ,HOẶC,或,或
string-->>enter_reg_mob_no,Enter PayNow registered phone number,Masukkan nombor telefon berdaftar PayNow,ป้อนหมายเลขโทรศัพท์ที่ลงทะเบียนของ PayNow,Nhập số điện thoại đã đăng ký PayNow,输入 PayNow 注册电话号码,输入 PayNow 注册电话号码
string-->>hundred_pts_reqd,100 points required,100 mata diperlukan,ต้องการคะแนน 100 คะแนน,Bắt buộc phải có 100 điểm,需要 100 分,需要 100 分
string-->>pls_enter_amount,Please enter amount,Sila masukkan amaun,กรุณาป้อนจำนวนรวม,Vui lòng nhập số tiền,请输入金额,请输入金额
string-->>enter_bank_or_mob_no,Please enter either PayNow bank account number or PayNow registered mobile number,Sila masukkan sama ada nombor akaun bank PayNow atau nombor mudah alih berdaftar PayNow,กรุณาป้อนหมายเลขบัญชีธนาคาร PayNow หรือหมายเลขโทรศัพท์มือถือที่ลงทะเบียน PayNow,Vui lòng nhập số tài khoản ngân hàng PayNow hoặc số điện thoại di động đã đăng ký PayNow,请输入 PayNow 银行帐号或 PayNow 注册手机号码,请输入 PayNow 银行帐号或 PayNow 注册手机号码
string-->>pls_enter_valid_mob_no,Please enter valid mobile number,Sila masukkan nombor telefon alih yang sah,กรุณาป้อนหมายเลขโทรศัพท์มือถือที่ถูกต้อง,Vui lòng nhập số điện thoại di động hợp lệ,请输入有效的手机号码,请输入有效的手机号码
string-->>pls_enter_min_amount,Please enter minimum $10,Sila masukkan minimum $ 10,กรุณาป้อนขั้นต่ำ $1,Vui lòng nhập tối thiểu 10USD,请输入最低 $10,请输入最低 $10
string-->>ten_dollar,$10,$10,$10,10,$10,$10
string-->>paynow_link,Not registered with PayNow? Register now!,Tidak berdaftar dengan PayNow? Daftar sekarang!,ไม่ได้ลงทะเบียนกับ PayNow? สมัครตอนนี้!,Bạn chưa đăng ký với PayNow? Đăng ký ngay!,未在 PayNow 注册？立即注册！,未在 PayNow 注册？立即注册！
string-->>mobile_update_fail_try_again,"Mobile number update failed, please try again","Kemas kini nombor mudah alih gagal, sila cuba lagi",การอัพเดทหมายเลขโทรศัพท์ล้มเหลว โปรดลองอีกครั้ง,"Cập nhật số điện thoại di động không thành công, vui lòng thử lại",手机号码更新失败，请重试,手机号码更新失败，请重试
string-->>just_last_name,Last Name,Nama terakhir,นามสกุล,Họ,姓氏,姓氏
string-->>scan_cancelled,Scan was cancelled by you.,Imbas dibatalkan oleh anda.,การสแกนถูกยกเลิกโดยคุณ,Bạn đã hủy [Quét].,扫描被您取消。,扫描被您取消。
string-->>place_qr_code_in_frame,Place QR code in the frame,Letakkan kod QR dalam bingkai,วาง QR code ในกรอบ,Đặt mã QR vào khung,将 QR 码放在框架中,将 QR 码放在框架中
string-->>courier_option,Courier Option,Pilihan Courier,ตัวเลือกการจัดส่ง,Tùy chọn chuyển phát nhanh,快递选项,快递选项
string-->>office_delivery,Office Delivery (Free service),Penghantaran Pejabat (Perkhidmatan percuma),จัดส่งสำนักงาน (บริการฟรี),Giao hàng văn phòng (Dịch vụ miễn phí),办公室交付（免费服务）,办公室交付（免费服务）
string-->>fee_of,fee of,yuran untuk,ค่าธรรมเนียมของ,phí của,费用,费用
string-->>points_apply,points apply,mata dikenakan,ใช้คะแนน,điểm áp dụng,点适用,点适用
string-->>courier_sub_text,Any subsequent redemptions within the day will be free of charge,Sebarang penebusan seterusnya dalam masa akan dikenakan secara percuma,การแลกรางวัลใดๆที่ตามมาภายในวันนั้นจะไม่เสียค่าใช้จ่าย,Bất kỳ lần đổi tiếp theo nào trong ngày cũng sẽ được miễn phí,当天内的任何后续兑换将免费,当天内的任何后续兑换将免费
string-->>office_delivery_sub_text,Collect your reward/s every 1st working day of the month (redemptions done from the 9th to 23rd of the previous month) OR 15th of the month (redemptions done from the 24th of the previous month to the 8th of the current month),Kumpulkan ganjaran anda pada setiap hari kerja 1 bulan (penebusan yang dilakukan dari 9 hingga 23 bulan sebelumnya) ATAU 15hb bulan (penebusan yang dilakukan dari 24 bulan sebelumnya hingga 8 bulan semasa),รวบรวมรางวัลของคุณทุกวันทำการที่ 1 ของเดือน (การแลกรางวัลดำเนินการแล้วเสร็จในวันที่ 9-23 ของเดือนก่อนหน้า) หรือวันที่ 15 ของเดือน (การแลกรางวัลดำเนินการแล้วเสร็จในวันที่ 24 ของเดือนก่อนหน้าถึงวันที่ 8 ของเดือนปัจจุบัน),Nhận phần thưởng của bạn vào mỗi ngày làm việc đầu tiên của tháng (việc đổi thưởng được tiến hành từ ngày 9 đến ngày 23 của tháng trước) HOẶC ngày 15 của tháng (việc đổi thưởng được tiến hành từ ngày 24 của tháng trước đến ngày 8 của tháng hiện tại),每月第 1 个工作日（从上月 9 日至 23 日完成的兑换）或当月 15 日（从上月 24 日到当月 8 日完成的兑换）收集您的奖励/s,每月第 1 个工作日（从上月 9 日至 23 日完成的兑换）或当月 15 日（从上月 24 日到当月 8 日完成的兑换）收集您的奖励/s
string-->>are_you_sure_you_want_to_redeem_reward,Are you sure you want to redeem this reward?,Adakah anda pasti mahu menebus ganjaran ini?,คุณแน่ใจหรือไม่ว่าต้องการแลกรางวัลนี้?,Bạn có chắc là mình muốn đổi phần thưởng này không?,是否确实要兑换此奖励？,是否确实要兑换此奖励？
string-->>logging_out,Logging out....,Log keluar....,,Thoát ra....,登出...,登出...
string-->>your_pwd_expire,Your password will expire in,Kata laluan anda akan tamat tempoh,รหัสผ่านของคุณหมดอายุ,Mật khẩu của bạn sẽ hết hạn sau,您的密码将在,您的密码将在
string-->>alert,Alert,Amaran,,Cảnh báo,警报,警报
string-->>pwd_update_logout_message,Your password has expired. Kindly reset your password using forget password to login,Kata laluan anda telah tamat tempoh. Sila tetapkan semula kata laluan anda dengan menggunakan kata laluan lupa untuk log masuk,รหัสผ่านของคุณหมดอายุ กรุณากดลืมรหัสผ่านเพื่อทำการรีเซ็ท,Mật khẩu của bạn đã hết hạn. Vui lòng đặt lại mật khẩu của bạn bằng cách sử dụng quên mật khẩu để đăng nhập,您的密码已过期。请使用忘记密码重置密码以登录,您的密码已过期。请使用忘记密码重置密码以登录
string-->>atsn_dashboard,ATSN Dashboard,Papan ATSN,,Bảng điều khiển ATSN,ATSN DASHBOARD,ATSN DASHBOARD
string-->>dummy_text,WW47\'18,WW47\'18,,WW47\'18,WW47-18,WW47-18
string-->>output,Output,Pengeluaran,,Đầu ra,输出,输出
string-->>icar,ICAR,ICAR,,ICAR,ICAR,ICAR
string-->>dept_performance,Departmental Performance,Prestasi Jabatan,,Hiệu suất của Bộ phận,部门绩效,部门绩效
string-->>quarter,Quarter,Suku,,Quý,季度,季度
string-->>label_quarter,Q,Q,,Q,问,问
string-->>label_qtd,QTD,QTD,,QTD,数量,数量
string-->>label_month,M,M,,M,M,M
string-->>hint_brand_model,,,"ขนาดตัวหนังสือ =""10""ป้อน 2 ตัวอักษร และ 4 หลัก (เช่น AB1234)ป้อน 2 ตัวอักษร 4 หลัก",,输入2个字母和4个数字例如AB1234,输入2个字母和4个数字例如AB1234>
string-->>hint_amount,$XXX,$XXX,$XXX,$XXX,$XXX,$XXX
string-->>enter_brand_model,Enter brand model,Masukan modal jenama,ป้อนยี่ห้อรุ่น,Nhập mô hình thương hiệu,输入品牌模型,输入品牌模型
string-->>membership_privileges,Membership Privileges,Keistimewaan keahlian,สิทธิพิเศษสำหรับสมาชิก,Đặc quyền thành viên,成员资格特权,成员资格特权
string-->>since,since,sejak,ตั้งแต่,từ,因为,因为
string-->>character_limit_error_message,Please enter minimum %1$d characters,Sila masukkan minimum %1$d aksara,ระบุขั้นต่ำ %1$d ตัว,Vui lòng nhập tối thiểu %1$d ký tự,请输入至少 %1$d 个字符,请输入至少 %1$d 个字符
string-->>entered,entered,memasuki,,đã nhập,进入,进入
string-->>confirm_edit_mobile_number,Confirm your mobile number,Pastikan nombor mudah alih anda,ยืนยันหมายเลขโทรศัพท์มือถือของคุณ,Xác nhận số điện thoại di động của bạn,确认您的手机号码,确认您的手机号码
string-->>recognition_heroes,Recognition Heroes,Pengiktirafan Wira,ฮีโร่ที่ได้รับการยอมรับ,Vinh danh,荣誉名单,荣誉名单
string-->>feeds,Feed,Paparan Siaran,ให้,Bảng tin,动态信息,动态信息
string-->>users,users,Penguna,,người dùng,用户,用户
string-->>clear,Clear,Jelas,ล้าง,Xóa,清除,清除
string-->>appreciated_by,appreciated by,dihargai oleh,การขอบคุณ,được đánh giá cao bởi,赞赏,赞赏
string-->>updated_week,Weekly data as updated on,Data mingguan seperti yang dikemas kini pada,,Dữ liệu hàng tuần được cập nhật vào,更新的每周数据,更新的每周数据
