keys,values,values-ar,values-ms,values-ru,values-th,values-vi,values-zh,values-zh-rCN
string-->>thanks_for_recognizing,Thanks for recognizing,شكرا على الاعتراف,Terima kasih kerana mengenali,Спасибо за признание,,Cảm ơn bạn đã ghi nhận,感谢您的确认,感谢您的确认
string-->>select_at_least_one_strengths_to_recognize,Select at least one strength to recognize,حدد قوة واحدة على الأقل للتعرف عليها,Pilih sekurang-kurangnya satu kekuatan untuk mengenali,Выберите хотя бы одно качество для признания,,Chọn ít nhất một ưu điểm để ghi nhận,选择至少一个强度来识别,选择至少一个强度来识别
string-->>no_updates,No Updates,لا توجد تحديثات,Tiada Maklumat,Обновлений нет,,Không có Cập nhật,无更新,无更新
string-->>take_survey,Take Survey,أخذ المسح,mengambil kaji selidik,Пройти опрос,ทำการสำรวจ,Tham gia Khảo sát,参加调查,参加调查
string-->>workplace,WORKPLACE,مكان العمل,WORKPLACE,РАБОЧЕЕ МЕСТО,,NƠI LÀM VIỆC,车间,车间
string-->>allocate_points,ALLOCATE POINTS,تخصيص النقاط,MEMPERUNTUKKAN MATA,РАСПРЕДЕЛИТЬ БАЛЛЫ,,PHÂN BỔ ĐIỂM,分配点,分配点
string-->>server_facing_heavy_load,Server is facing heavy load. Please try again later.,الخادم هو مواجهة الحمل الثقيل. الرجاء معاودة المحاولة في وقت لاحق.,Pelayan menghadapi beban berat. Sila cuba sebentar lagi.,"Сервер испытывает большую нагрузку. Пожалуйста, попробуйте позже",เซิร์ฟเวอร์กำลังโหลดข้อมูลจำนวนมาก กรุณาลองใหม่อีกครั้งในภายหลัง,Máy chủ đang phải tải dữ liệu nặng. Bạn vui lòng thử lại sau.,服务器面临重负载。请稍后再试。,服务器面临重负载。请稍后再试。
string-->>password_policy,"* Password must be minimum 8 characters and contain a combination of uppercase letters, lowercase letters & numbers.",* يجب أن تكون كلمة المرور على الأقل 8 أحرف وتحتوي على مجموعة من الأحرف الكبيرة والأحرف والأرقام الصغيرة.,"* Kata laluan mesti minimum 8 aksara dan mengandungi gabungan huruf besar, huruf kecil & nombor.","* Пароль должен состоять минимум из 8 символов и содержать комбинацию прописных букв, строчных букв и цифр.","* รหัสผ่านจะต้องมีอย่างน้อย 8 ตัวอักษร และประกอบด้วย ตัวอักษรตัวใหญ่, ตัวเล็ก และตัวเลข","* Mật khẩu phải có tối thiểu 8 ký tự và chứa sự kết hợp của chữ hoa, chữ thường và số.",[CDATA [*密码必须至少包含8个字符，并且包含大写字母，小写字母和数字的组合。]],[CDATA [*密码必须至少包含8个字符，并且包含大写字母，小写字母和数字的组合。]]
string-->>only_home_delivery_text_for_nexperia,Please enter your home address. Use of Nexperia ATSN office address is not allowed.,الرجاء إدخال عنوان منزلك. لا يسمح باستخدام عنوان Office Office Nexperia ATSN.,Sila masukkan alamat rumah anda. Penggunaan alamat pejabat Nexperia ATSN tidak dibenarkan.,"Пожалуйста, введите свой домашний адрес. Использование адреса офиса Nexperia ATSN не допускается.",,Vui lòng nhập địa chỉ nhà của bạn. Không được phép sử dụng địa chỉ văn phòng Nexperia ATSN.,请输入您的家庭地址。不允许使用 Nexperia ATSN 办公地址。,请输入您的家庭地址。不允许使用 Nexperia ATSN 办公地址。
string-->>hint_email_emp_id,Employee ID,هوية الموظف,ID Perkerja,Идентификатор сотрудника,,Mã nhân viên,员工 ID,员工 ID
string-->>message_change_email,Please enter your email address and change your password,الرجاء إدخال عنوان بريدك الإلكتروني وتغيير كلمة المرور الخاصة بك,Sila masukkan alamat e-mel anda dan tukar kata laluan anda,"Пожалуйста, введите свой адрес эл. почты и измените пароль",กรุณาป้อนที่อยู่อีเมล์ของคุณ และเปลี่ยนรหัสผ่านของคุณ,Vui lòng nhập địa chỉ email và thay đổi mật khẩu của bạn,请输入您的电子邮件地址并更改密码,请输入您的电子邮件地址并更改密码
string-->>title_change_email_password,SET EMAIL ID & PASSWORD,تعيين معرف البريد الإلكتروني وكلمة المرور,SET E-MEL ID & KATA LALUAN,УСТАНОВИТЬ АДРЕС ЭЛ. ПОЧТЫ И ПАРОЛЬ,,ĐẶT ID & MẬT KHẨU EMAIL,设置电子邮件 ID 和密码,设置电子邮件 ID 和密码
string-->>email_policy,* Please enter your work or personal contact email for password reset and points redemption purposes.,* الرجاء إدخال عملك أو البريد الإلكتروني لجهة الاتصال الشخصية لإعادة تعيين كلمة المرور وأغراض استرداد النقاط.,* Sila masukkan kerja atau e-mel hubungan peribadi anda untuk menetapkan semula kata laluan dan tujuan penebusan mata.,"* Пожалуйста, введите свой рабочий или личный контактный адрес эл. почты для сброса пароля и обмена баллов.",,* Please enter your work or personal contact email for password reset and points redemption purposes.,,
string-->>label_postcode,Postal Code,رمز بريدي,Poskod,Почтовый индекс,รหัสไปรษณีย์,Mã Bưu điện,邮政编码,邮政编码
string-->>title_dashboard_nexperia,Home,الصفحة الرئيسية,RUMAH,Домой,,Trang chủ,家,家
string-->>label_points,points,نقاط,mata,баллы,คะแนน,điểm,点,点
string-->>message_select_delivery_mode,Please select a delivery mode,يرجى اختيار وضع التسليم,Sila pilih mod penghantaran,"Пожалуйста, выберите вид доставки",กรุณาเลือกรูปแบบการจัดส่ง,Vui lòng chọn một chế độ giao hàng,请选择交货模式,请选择交货模式
string-->>label_privacy_policy_nexperia,I have read and accept the Terms of Service & Privacy Policy of Rewardz and Nexperia Malaysia.,لقد قرأت واقبل شروط الخدمة وسياسة الخصوصية لإعادة رائدز و Nexperia ماليزيا.,Saya telah membaca dan menerima Syarat Perkhidmatan & Dasar Privasi Rewardz dan Nexperia Malaysia.,Я прочитал и принимаю Условия использования и Политику конфиденциальности Rewardz и Nexperia Malaysia.,,Tôi đã đọc và chấp nhận Điều khoản Dịch vụ & Chính sách Bảo mật của Rewardz và Nexperia Malaysia.,我已阅读并接受服务条款。Rewardz 和 Nexperia 马来西亚的隐私政策。,我已阅读并接受服务条款。Rewardz 和 Nexperia 马来西亚的隐私政策。
string-->>hint_enter_email_address,Please enter you email address,الرجاء إدخال عنوان البريد الإلكتروني لك,Sila masukkan alamat e-mel anda,"Пожалуйста, введите свой адрес эл. почты",,Vui lòng nhập địa chỉ email của bạn,请输入您的电子邮件地址,请输入您的电子邮件地址
string-->>target_units,Target Units,الوحدات المستهدفة,Unit sasaran,Желаемые единицы,จำนวนเป้าหมาย,Đơn vị chỉ tiêu,目标单位,目标单位
string-->>units_sold,Units Sold,الوحدات المباعة,Unit Dijual,Продано единиц,จำนวนที่ขายแล้ว,Đơn vị đã Bán,已售单位,已售单位
string-->>campaign_tracker,Special Campaigns Tracker,الحملات الخاصة المقتفي,Kempen Pengesan Khas,Трекер избранных кампаний,ตัวติดตามแคมเปญพิเศษ,Trình theo dõi Chiến dịch Đặc biệt,特别活动跟踪器,特别活动跟踪器
string-->>you_are_in,You are in,أنت في,Anda berada dalam,Вы в,คุณอยู่ใน,Bạn đang ở trong,你在,你在
string-->>tier,tier,الطبقة,tingkat,уровень,ระดับชั้น,bậc,层,层
string-->>user_is_in,User is in,المستخدم في,Pengguna berada didalam,Пользователь на,ผู้ใช้อยู่ใน,Người dùng đang ở,用户处于,用户处于
string-->>you_are_nominating,You are nominating,أنت ترشيح,Anda mencalonkan,Вы номинируете,,Bạn đang đề cử,您正在提名,您正在提名
string-->>you_are_recognizing,You are recognizing,أنت تعرف,Anda mengenali,Вы признаете,,Bạn đang ghi nhận,你认识到,你认识到
string-->>private_msg,Private,نشر,Swasta,Приватное,,Riêng tư,私人,私人
string-->>appreciation_private_message,This user has chosen to keep the appreciations private,اختار هذا المستخدم الاحتفاظ بالتقدير الخاص,Pengguna ini telah memilih untuk mengekalkan penghargaan peribadi,Пользователь сделал свои благодарности приватными,,Người dùng này đã chọn thiết lập các đánh giá cao ở chế độ riêng tư,此用户已选择保持欣赏隐私,此用户已选择保持欣赏隐私
string-->>make_appreciation_public,Make my appreciations public,جعل تقديري الجمهور,Berikan penghargaan saya kepada umum,Сделать мои благодарности публичными,,Thiết lập sự đánh giá cao của tôi ở chế độ công khai,公开我的感激之情,公开我的感激之情
string-->>appreciations,Appreciations,التقدير,Penghargaan,Благодарности,,Đánh giá cao,赞赏,赞赏
string-->>nominations,Nomination,ترشيح,Nominasi,Номинирования,,Đề cử,提名,提名
string-->>recongnizations,Recongnizations,إعادة الاستثمار,Pengiktirafan,Признания,,Ghi nhận,重新化,重新化
string-->>workplace_by_facebook,Workplace by Facebook,مكان العمل عن طريق Facebook.,Tempat kerja oleh Facebook,Рабочее место Facebook,,Nơi làm việc của Facebook,Facebook 的工作场所,Facebook 的工作场所
string-->>share_with,Share with,شارك مع,Berkongsi dengan,Поделиться с,,Chia sẻ với,与,与
string-->>select_at_least_one_message_to_share,Please long click on message and select at least one message that you would like to share.,يرجى انقر لفترة طويلة على الرسالة وتحديد رسالة واحدة على الأقل ترغب في مشاركتها.,Sila klik lama pada mesej dan pilih sekurang-kurangnya satu mesej yang ingin anda bagikan.,"Пожалуйста, нажмите и удерживайте сообщение, которым вы хотите поделиться.",,Vui lòng nhấp lâu vào tin nhắn và chọn ít nhất một tin nhắn mà bạn muốn chia sẻ.,请长按邮件并选择至少一封您希望共享的消息。,请长按邮件并选择至少一封您希望共享的消息。
string-->>appreciated,appreciated,محل تقدير,dihargai,оценено,การขอบคุณ,đã đánh giá cao,赞赏,赞赏
string-->>posting_workplace,Posting to workplace.....,نشر إلى مكان العمل .....,Menghantar ke tempat kerja .....,Публикация на рабочее место....,,Đăng vào công sở .....,发布到工作场所...,发布到工作场所...
string-->>does_not_exists_on_workplace,does not exists on your workplace group,لا يوجد في مجموعة مكان العمل,tidak wujud di kumpulan tempat kerja anda,не существует в вашей рабочей группе,,không tồn tại trong nhóm công sở của bạn,您的工作场所组不存在,您的工作场所组不存在
string-->>posted_to_workplace,Successfully posted to your workplace group.,تم النشر بنجاح في مجموعة العمل الخاصة بك.,Berjaya dihantar ke kumpulan tempat kerja anda.,Успешно опубликовано в вашей рабочей группе.,,Đã đăng thành công lên nhóm công sở của bạn.,已成功发布到工作区组。,已成功发布到工作区组。
string-->>something_went_wrong_posting_to_workplace,Something went wrong while posting to your workplace group.,حدث خطأ ما أثناء النشر إلى مجموعة مكان العمل.,Sesuatu yang tidak kena semasa menghantar ke kumpulan tempat kerja anda.,Что-то пошло не так при публикации в вашей рабочей группе.,,Đã xảy ra sự cố khi đăng lên nhóm công sở của bạn.,发布到工作区组时出现问题。,发布到工作区组时出现问题。
string-->>with_this_message,with this message,مع هذه الرسالة,dengan mesej ini,с этим сообщением,,với tin nhắn này,与此消息,与此消息
string-->>new_settings_updated,New settings updated.,إعدادات جديدة محدثة.,Tetapan baru dikemas kini.,Настройки обновлены.,อัพเดทการตั้งค่าใหม่แล้ว,Đã cập nhật cài đặt mới.,更新了新设置。,更新了新设置。
string-->>hide_my_appreciation_messages,Hide my appreciation messages,إخفاء رسائل تقديري,Sembunyikan mesej penghargaan saya,Скрыть мои сообщения с благодарностями,Hide my appreciation messages,Ẩn tin nhắn đánh giá cao của tôi,隐藏我的赞赏信息,隐藏我的赞赏信息
string-->>failed_to_subscribe_recording_api,There was a problem subscribing to Recording API,كان هناك مشكلة في الاشتراك في تسجيل API,Terdapat masalah melanggan API Rakaman,Возникла проблема подписки Recording API,,Đã xảy ra sự cố khi đăng ký Recording API,订阅录制 API 时出现问题,订阅录制 API 时出现问题
string-->>fetching_details,Fetching Details....,إحضار التفاصيل ....,Mengambil Butiran ...,Получение подробностей ....,กำลังดึงข้อมูล...,Tìm nạp chi tiết ....,正在获取详细信息...,正在获取详细信息...
string-->>enter_frame_category,Select Frame Category,حدد فئة الإطار,Pilih Kategori Bingkai,Выберите категорию,ป้อนประเภทของแว่นตา,Chọn Danh mục Khung,选择帧类别,选择帧类别
string-->>enter_date_of_receipt,Enter Date of Receipt,أدخل تاريخ الاستلام,Masukkan Tarikh Resit,Введите дату получения,ป้อนวันที่ของใบเสร็จ,Nhập Ngày của Biên nhận,输入收货日期,输入收货日期
string-->>enter_no_of_units_sold,Enter Number of Units sold,أدخل عدد الوحدات المباعة,Masukkan Nombor Unit yang dijual,Введите количество проданных единиц,ป้อนจำนวนหน่วยที่ขาย,Nhập Số lượng Đơn vị đã bán,输入已售出的单位数,输入已售出的单位数
string-->>validate_no_of_units_sold,Number of Units sold should be less than 8,يجب أن يكون عدد الوحدات المباعة أقل من 8,,,,,,
string-->>receipts_missing,Receipt is missing,إيصال مفقود,Resit hilang,Нет чека,ใบเสร็จรับเงินขาดหายไป,Biên nhận bị thiếu,缺少收据,缺少收据
string-->>loading_receipts,Loading Receipts....,تحميل إيصالات ....,Memuat Resit ....,Загрузка чеков...,กำลังโหลดใบเสร็จ,Đang tải Biên nhận ....,正在加载收据...,正在加载收据...
string-->>uploading_receipt,Uploading Receipt,تحميل استلام,Muat Naik Resit,Загрузка чека,กำลังอัพโหลดใบเสร็จ,Đang tải lên Biên nhận,上传收据,上传收据
string-->>receipt_upload_failed,Receipt Upload Failed,فشل تحميل الاستلام,Muat Naik Resit Gagal,Неудачная загрузка чека,การอัพโหลดใบเสร็จล้มเหลว,Không thể Tải lên Biên nhận,收据上传失败,收据上传失败
string-->>upload_complete,Upload Complete,تحميل كاملة,Muat naik Lengkap,Загрузка завершена,อัพโหลดเสร็จสมบูรณ์,Hoàn tất Tải lên,上传完成,上传完成
string-->>italian,Italian,الإيطالية,Itali,Итальянский,,Tiếng Ý,意大利语,意大利语
string-->>german,German,ألمانية,Jerman,Немецкий,,Tiếng Đức,德语,德语
string-->>frame_category,Frame Category,فئة الإطار,Kategori Frame,Категория,ประเภทของแว่นตา,Thể loại khung,框架类别,框架类别
string-->>brand_model,Brand Model,نموذج العلامة التجارية,Modal Jenama,"Модель, бренд",รหัสรุ่น,Mô hình Thương hiệu,品牌模型,品牌模型
string-->>date_of_receipt,Date of Receipt,تاريخ استلام,Tarik Resit,Дата получения,วันที่ของใบเสร็จ,Ngày của Biên nhận,收货日期,收货日期
string-->>amount,Amount,كمية,Jumlah,Сумма,ยอดขายสุทธิ,Số tiền,量,量
string-->>no_of_units_sold,Number of units sold,عدد الوحدات المباعة,Bilangan unit yang dijual,Количество проданных единиц,จำนวนสินค้า,Số lượng các đơn vị đã bán,不。已售出的单位,不。已售出的单位
string-->>view_receipt,View Receipt,استلام عرض,Lihat Resit,Просмотр чека,ดูใบเสร็จ,Xem Biên nhận,查看收据,查看收据
string-->>upload,Upload,تحميل,Muat naik,Загрузка,อัพโหลด,Tải lên,上传,上传
string-->>spanish,Spanish,الأسبانية,Sepanyol,Испанский,,Tiếng Tây Ban Nha,西班牙语,西班牙语
string-->>nric_email,NRIC/email,NRIC / البريد الإلكتروني,NRIC/e-mel,NRIC / эл. почта,,NRIC / email,NRIC/电子邮件,NRIC/电子邮件
string-->>notify_members,Notify members of,إخطار أعضاء,Beritahu ahli,Уведомить участников,,Thông báo cho các thành viên của,通知成员,通知成员
string-->>quantity_less_than,Quantity should be less than 9,يجب أن تكون الكمية أقل من 9,Kuantiti hendaklah tidak kurang daripada 9,Количество должно составлять менее 9,ปริมาณควรน้อยกว่า 9,Số lượng phải ít hơn 9,数量应小于 20,数量应小于 9
string-->>add_quantity_less_than,Add less than 9,أضف أقل من 9,Tambah kurang daripada 20,Добавить меньше 9,เพิ่มน้อยกว่า 9,Thêm ít hơn 9,添加少于 20,添加少于 9
string-->>you_can_redeem,You can redeem this reward,يمكنك استرداد هذه المكافأة,Anda boleh menebus ganjaran ini,Вы можете получить это вознаграждение,คุณสามารถแลกรางวัลนี้,Bạn có thể đổi phần thưởng này,您可以兑换此奖励,您可以兑换此奖励
string-->>enter_your_email_to_reset_pwd,Enter your email address below and we\'ll send you instructions on how to change your password,أدخل عنوان بريدك الإلكتروني أدناه ونرسل لك تعليماتك حول كيفية تغيير كلمة المرور الخاصة بك,Masukkan alamat e-mel anda di bawah dan kami akan menghantar arahan tentang cara menukar kata laluan anda,"Введите ниже свой адрес эл. почты, и мы отправим вам инструкции по изменению пароля",ระบุอีเมลด้านล่างและเราจะทำการจัดส่งคู่มือการเปลี่ยนรหัสผ่านให้ท่าน,Nhập địa chỉ email của bạn vào bên dưới và chúng tôi sẽ gửi cho bạn hướng dẫn về cách thay đổi mật khẩu của bạn,请在下面输入您的电子邮件地址，我们将向您发送有关如何更改密码的说明,请在下面输入您的电子邮件地址，我们将向您发送有关如何更改密码的说明
string-->>country,Country,دولة,Negara,Страна,ประเทศ,Quốc gia,国家,国家
string-->>store,Store,متجر,Simpan,Магазин,,Cửa hàng,商店,商店
string-->>select_your_country,Select your country,اختر بلدك,Pilih negara anda,Выберите вашу страну,เลือกประเทศของคุณ,Chọn quốc gia của bạn,选择您所在的国家/地区,选择您所在的国家/地区
string-->>first_select_country,First select your country,أولا حدد بلدك,Pertama pilih negara anda,Сначала выберите вашу страну,ก่อนอื่นให้เลือกประเทศของคุณ,Trước tiên hãy chọn quốc gia của bạn,首先选择您所在的国家/地区,首先选择您所在的国家/地区
string-->>loading_stores,Loading stores....,تحميل مخازن ....,Memuatkan simpanan,Загрузка магазинов...,กำลังโหลด ร้านค้า...,Đang tải cửa hàng….,正在加载商店...,正在加载商店...
string-->>no_countries_found,No countries found,لم يتم العثور على دول,Tiada negara dijumpai,Страны не найдены,ไม่พบประเทศ,Không tìm thấy quốc gia nào,未发现国家/地区,未发现国家/地区
string-->>select_your_store,Select your store,حدد متجرك,Pilih simpanan anda,Выберите ваш магазин,เลือกร้านค้าของคุณ,Chọn cửa hàng của bạn,选择您的商店,选择您的商店
string-->>loading_countries,Loading countries....,تحميل البلدان ....,Memuatkan negara ....,Загрузка стран ....,กำลังโหลด ประเทศ...,Đang tải các quốc gia ....,正在加载国家/地区...,正在加载国家/地区...
string-->>process,Processing,يعالج,Pemprosesan,В обработке,กำลังดำเนินการ,Đang xử lý,处理,处理
string-->>redeem_e_cash,Redeem e-Cash,استرداد النقد الإلكتروني,Tebus e-Cash,Приобрести эл. наличные,แลกเงินอิเล็กทรอนิกส์ (e-cash),Đổi Tiền điện tử,兑换电子现金,兑换电子现金
string-->>enter_amount,Enter Amount,أدخل المبلغ,Masukkan Amaun,Введите сумму,ป้อนจำนวนรวม,Nhập Số tiền,输入金额,输入金额
string-->>min_amt_reqd,"Minimum redemption of $10 is required, subsequent increase in multiples of $1",مطلوب الحد الأدنى للاسترداد البالغة 10 دولارات، الزيادة اللاحقة في مضاعفات 1 دولار,"Penebusan minimum $ 10 diperlukan, peningkatan seterusnya dalam gandaan $ 1","Минимальная сумма обмена составляет 10 долларов, последующее увеличение суммы должно быть кратно 1 доллару.",การแลกขั้นต่ำที่ $1 เพิ่มขึ้นตามลำดับเป็นทวีคูณของ $1,"Bắt buộc quy đổi tối thiểu 10USD, sau đó sẽ tăng mức quy đổi là bội số của 1USD",最低兑换 10 美元，随后增加 1 美元倍数,最低兑换 10 美元，随后增加 1 美元倍数
string-->>enter_paynow_acc_no,Enter PayNow bank account number,أدخل رقم حساب Paynow Bank,Masukkan nombor akaun bank PayNow,Введите номер банковского счета PayNow,ป้อนหมายเลขบัญชีของ PayNow,Nhập số tài khoản ngân hàng PayNow,输入 PayNow 银行帐号,输入 PayNow 银行帐号
string-->>or,OR,أو,ATAU,ИЛИ,หรือ,HOẶC,或,或
string-->>enter_reg_mob_no,Enter PayNow registered phone number,أدخل رقم هاتف Paynow مسجل,Masukkan nombor telefon berdaftar PayNow,"Введите номер телефона, зарегистрированного в PayNow",ป้อนหมายเลขโทรศัพท์ที่ลงทะเบียนของ PayNow,Nhập số điện thoại đã đăng ký PayNow,输入 PayNow 注册电话号码,输入 PayNow 注册电话号码
string-->>hundred_pts_reqd,100 points required,100 نقطة مطلوب,100 mata diperlukan,необходимо 100 баллов,ต้องการคะแนน 100 คะแนน,Bắt buộc phải có 100 điểm,需要 100 分,需要 100 分
string-->>pls_enter_amount,Please enter amount,الرجاء إدخال المبلغ,Sila masukkan amaun,Пожалуйста введите сумму,กรุณาป้อนจำนวนรวม,Vui lòng nhập số tiền,请输入金额,请输入金额
string-->>enter_bank_or_mob_no,Please enter either PayNow bank account number or PayNow registered mobile number,الرجاء إدخال رقم الحساب المصرفي Paynow أو Paynow رقم الجوال المسجل,Sila masukkan sama ada nombor akaun bank PayNow atau nombor mudah alih berdaftar PayNow,"Введите номер банковского счета PayNow или введите номер телефона, зарегистрированного в PayNow",กรุณาป้อนหมายเลขบัญชีธนาคาร PayNow หรือหมายเลขโทรศัพท์มือถือที่ลงทะเบียน PayNow,Vui lòng nhập số tài khoản ngân hàng PayNow hoặc số điện thoại di động đã đăng ký PayNow,请输入 PayNow 银行帐号或 PayNow 注册手机号码,请输入 PayNow 银行帐号或 PayNow 注册手机号码
string-->>pls_enter_valid_mob_no,Please enter valid mobile number,الرجاء إدخال رقم الجوال صالح,Sila masukkan nombor telefon alih yang sah,"Пожалуйста, введите действующий номер мобильного телефона",กรุณาป้อนหมายเลขโทรศัพท์มือถือที่ถูกต้อง,Vui lòng nhập số điện thoại di động hợp lệ,请输入有效的手机号码,请输入有效的手机号码
string-->>pls_enter_min_amount,Please enter minimum $10,الرجاء إدخال الحد الأدنى 10 دولارات,Sila masukkan minimum $ 10,"Пожалуйста, введите минимум 10 долларов",กรุณาป้อนขั้นต่ำ $1,Vui lòng nhập tối thiểu 10USD,请输入最低 $10,请输入最低 $10
string-->>ten_dollar,$10,10 دولارات,$10,10 долларов,$10,10,$10,$10
string-->>paynow_link,Not registered with PayNow? Register now!,غير مسجل مع Paynow؟ سجل الان!,Tidak berdaftar dengan PayNow? Daftar sekarang!,Не зарегистрированы в PayNow? Зарегистрироваться!,ไม่ได้ลงทะเบียนกับ PayNow? สมัครตอนนี้!,Bạn chưa đăng ký với PayNow? Đăng ký ngay!,未在 PayNow 注册？立即注册！,未在 PayNow 注册？立即注册！
string-->>mobile_update_fail_try_again,"Mobile number update failed, please try again",فشل تحديث رقم الهاتف المحمول، يرجى المحاولة مرة أخرى,"Kemas kini nombor mudah alih gagal, sila cuba lagi","Не удалось обновить номер мобильного телефона, попробуйте еще раз",การอัพเดทหมายเลขโทรศัพท์ล้มเหลว โปรดลองอีกครั้ง,"Cập nhật số điện thoại di động không thành công, vui lòng thử lại",手机号码更新失败，请重试,手机号码更新失败，请重试
string-->>just_last_name,Last Name,الكنية,Nama terakhir,Фамилия,นามสกุล,Họ,姓氏,姓氏
string-->>scan_cancelled,Scan was cancelled by you.,تم إلغاء المسح عليك.,Imbas dibatalkan oleh anda.,Вы прервали сканирование.,การสแกนถูกยกเลิกโดยคุณ,Bạn đã hủy [Quét].,扫描被您取消。,扫描被您取消。
string-->>place_qr_code_in_frame,Place QR code in the frame,ضع رمز الاستجابة السريعة في الإطار,Letakkan kod QR dalam bingkai,Поместите QR-код в рамку,วาง QR code ในกรอบ,Đặt mã QR vào khung,将 QR 码放在框架中,将 QR 码放在框架中
string-->>courier_option,Courier Option,خيار ساعي,Pilihan Courier,Курьерская доставка,ตัวเลือกการจัดส่ง,Tùy chọn chuyển phát nhanh,快递选项,快递选项
string-->>office_delivery,Office Delivery (Free service),توصيل المكتب (خدمة مجانية),Penghantaran Pejabat (Perkhidmatan percuma),Доставка в офис (Бесплатная услуга),จัดส่งสำนักงาน (บริการฟรี),Giao hàng văn phòng (Dịch vụ miễn phí),办公室交付（免费服务）,办公室交付（免费服务）
string-->>fee_of,fee of,رسوم,yuran untuk,комиссия в размере,ค่าธรรมเนียมของ,phí của,费用,费用
string-->>points_apply,points apply,تنطبق النقاط,mata dikenakan,баллы применяются,ใช้คะแนน,điểm áp dụng,点适用,点适用
string-->>courier_sub_text,Any subsequent redemptions within the day will be free of charge,أي عمليات استرداد لاحقة في غضون اليوم ستكون مجانية,Sebarang penebusan seterusnya dalam masa akan dikenakan secara percuma,Любые последующие обмены в течение дня будут бесплатными.,การแลกรางวัลใดๆที่ตามมาภายในวันนั้นจะไม่เสียค่าใช้จ่าย,Bất kỳ lần đổi tiếp theo nào trong ngày cũng sẽ được miễn phí,当天内的任何后续兑换将免费,当天内的任何后续兑换将免费
string-->>office_delivery_sub_text,Collect your reward/s every 1st working day of the month (redemptions done from the 9th to 23rd of the previous month) OR 15th of the month (redemptions done from the 24th of the previous month to the 8th of the current month),جمع المكافأة / S كل يوم عمل في الشهر الأول من الشهر (الانتخابات التي تم إنجازها من التاسع إلى 23 من الشهر السابق) أو 15 من الشهر (تم الانتعاش من 24 من الشهر السابق إلى 8 من الشهر الحالي),Kumpulkan ganjaran anda pada setiap hari kerja 1 bulan (penebusan yang dilakukan dari 9 hingga 23 bulan sebelumnya) ATAU 15hb bulan (penebusan yang dilakukan dari 24 bulan sebelumnya hingga 8 bulan semasa),Получайте свои награды каждый 1-й рабочий день месяца (обмен производятся с 9 по 23 числа предыдущего месяца) ИЛИ 15 числа месяца (обмен производятся с 24 числа предыдущего месяца по 8 число текущего месяца),รวบรวมรางวัลของคุณทุกวันทำการที่ 1 ของเดือน (การแลกรางวัลดำเนินการแล้วเสร็จในวันที่ 9-23 ของเดือนก่อนหน้า) หรือวันที่ 15 ของเดือน (การแลกรางวัลดำเนินการแล้วเสร็จในวันที่ 24 ของเดือนก่อนหน้าถึงวันที่ 8 ของเดือนปัจจุบัน),Nhận phần thưởng của bạn vào mỗi ngày làm việc đầu tiên của tháng (việc đổi thưởng được tiến hành từ ngày 9 đến ngày 23 của tháng trước) HOẶC ngày 15 của tháng (việc đổi thưởng được tiến hành từ ngày 24 của tháng trước đến ngày 8 của tháng hiện tại),每月第 1 个工作日（从上月 9 日至 23 日完成的兑换）或当月 15 日（从上月 24 日到当月 8 日完成的兑换）收集您的奖励/s,每月第 1 个工作日（从上月 9 日至 23 日完成的兑换）或当月 15 日（从上月 24 日到当月 8 日完成的兑换）收集您的奖励/s
string-->>are_you_sure_you_want_to_redeem_reward,Are you sure you want to redeem this reward?,هل أنت متأكد أنك تريد استرداد هذه المكافأة؟,Adakah anda pasti mahu menebus ganjaran ini?,"Вы уверены, что хотите обменять баллы на это вознаграждение?",คุณแน่ใจหรือไม่ว่าต้องการแลกรางวัลนี้?,Bạn có chắc là mình muốn đổi phần thưởng này không?,是否确实要兑换此奖励？,是否确实要兑换此奖励？
string-->>logging_out,Logging out....,تسجيل الخروج....,Log keluar....,Выход...,,Thoát ra....,登出...,登出...
string-->>your_pwd_expire,Your password will expire in,سوف تنتهي صلاحية كلمة المرور الخاصة بك في,Kata laluan anda akan tamat tempoh,Срок действия вашего пароля истечет через,รหัสผ่านของคุณหมดอายุ,Mật khẩu của bạn sẽ hết hạn sau,您的密码将在,您的密码将在
string-->>alert,Alert,انذار,Amaran,Оповещение,,Cảnh báo,警报,警报
string-->>pwd_update_logout_message,Your password has expired. Kindly reset your password using forget password to login,انتهت كلمة مرورك. يرجى إعادة تعيين كلمة المرور الخاصة بك باستخدام كلمة المرور لتسجيل الدخول,Kata laluan anda telah tamat tempoh. Sila tetapkan semula kata laluan anda dengan menggunakan kata laluan lupa untuk log masuk,"Ваш пароль истек. Чтобы восстановить пароль, войдите в систему, кликнув «Забыли пароль?»",รหัสผ่านของคุณหมดอายุ กรุณากดลืมรหัสผ่านเพื่อทำการรีเซ็ท,Mật khẩu của bạn đã hết hạn. Vui lòng đặt lại mật khẩu của bạn bằng cách sử dụng quên mật khẩu để đăng nhập,您的密码已过期。请使用忘记密码重置密码以登录,您的密码已过期。请使用忘记密码重置密码以登录
string-->>atsn_dashboard,ATSN Dashboard,ATSN لوحة القيادة,Papan ATSN,Панель управления ATSN,,Bảng điều khiển ATSN,ATSN DASHBOARD,ATSN DASHBOARD
string-->>dummy_text,WW47\'18,WW47\'18,WW47\'18,WW47\'18,,WW47\'18,WW47-18,WW47-18
